P1_to_P2_distance,P1_to_obs_point_0_distance,P1_to_obs_point_1_distance,P1_to_obs_point_2_distance,P1_to_obs_point_3_distance,P1_to_obs_point_4_distance,P1_to_obs_point_5_distance,P1_to_obs_point_6_distance,P1_to_obs_point_7_distance,P1_to_obs_point_8_distance,P1_to_obs_point_9_distance,P1_to_obs_point_10_distance,P1_to_obs_point_11_distance,P1_to_obs_point_12_distance,P1_to_obs_point_13_distance,P1_to_obs_point_14_distance,P1_to_obs_point_15_distance,P1_to_obs_point_16_distance,P1_to_obs_point_17_distance,P1_to_obs_point_18_distance,P1_to_obs_point_19_distance,P1_to_obs_point_20_distance,P1_to_obs_point_21_distance,P1_to_obs_point_22_distance,P1_to_obs_point_23_distance,P1_to_obs_point_24_distance,P1_to_obs_point_25_distance,P1_to_obs_point_26_distance,P1_to_obs_point_27_distance,P1_to_obs_point_28_distance,P1_to_obs_point_29_distance,P1_to_obs_point_30_distance,P1_to_obs_point_31_distance,P1_to_obs_point_32_distance,P1_to_obs_point_33_distance,P1_to_obs_point_34_distance,P1_to_obs_point_35_distance,P1_to_obs_point_36_distance,P1_to_obs_point_37_distance,P1_to_obs_point_38_distance,P1_to_obs_point_39_distance,P1_to_obs_point_40_distance,P1_to_obs_point_41_distance,P1_to_obs_point_42_distance,P1_to_obs_point_43_distance,P1_to_obs_point_44_distance,P1_to_obs_point_45_distance,P1_to_obs_point_46_distance,P1_to_obs_point_47_distance,P1_to_obs_point_48_distance,P1_to_obs_point_49_distance,P2_to_obs_point_0_distance,P2_to_obs_point_1_distance,P2_to_obs_point_2_distance,P2_to_obs_point_3_distance,P2_to_obs_point_4_distance,P2_to_obs_point_5_distance,P2_to_obs_point_6_distance,P2_to_obs_point_7_distance,P2_to_obs_point_8_distance,P2_to_obs_point_9_distance,P2_to_obs_point_10_distance,P2_to_obs_point_11_distance,P2_to_obs_point_12_distance,P2_to_obs_point_13_distance,P2_to_obs_point_14_distance,P2_to_obs_point_15_distance,P2_to_obs_point_16_distance,P2_to_obs_point_17_distance,P2_to_obs_point_18_distance,P2_to_obs_point_19_distance,P2_to_obs_point_20_distance,P2_to_obs_point_21_distance,P2_to_obs_point_22_distance,P2_to_obs_point_23_distance,P2_to_obs_point_24_distance,P2_to_obs_point_25_distance,P2_to_obs_point_26_distance,P2_to_obs_point_27_distance,P2_to_obs_point_28_distance,P2_to_obs_point_29_distance,P2_to_obs_point_30_distance,P2_to_obs_point_31_distance,P2_to_obs_point_32_distance,P2_to_obs_point_33_distance,P2_to_obs_point_34_distance,P2_to_obs_point_35_distance,P2_to_obs_point_36_distance,P2_to_obs_point_37_distance,P2_to_obs_point_38_distance,P2_to_obs_point_39_distance,P2_to_obs_point_40_distance,P2_to_obs_point_41_distance,P2_to_obs_point_42_distance,P2_to_obs_point_43_distance,P2_to_obs_point_44_distance,P2_to_obs_point_45_distance,P2_to_obs_point_46_distance,P2_to_obs_point_47_distance,P2_to_obs_point_48_distance,P2_to_obs_point_49_distance,P1_to_goal_distance,P2_to_goal_distance,P1_action,P2_action,reward,timestamp_milliseconds
1.0,24.166091947189145,24.596747752497688,25.059928172283332,25.55386467836128,26.0768096208106,26.627053911388696,27.202941017470888,27.80287754891569,28.0,28.0178514522438,28.0178514522438,28.0713376952364,28.0713376952364,28.16025568065745,28.16025568065745,28.284271247461906,28.284271247461906,28.42534080710379,28.442925306655784,28.442925306655784,28.635642126552707,28.635642126552707,28.861739379323623,28.861739379323623,29.0,29.017236257093817,29.017236257093817,29.068883707497267,29.068883707497267,29.068883707497267,29.120439557122072,29.120439557122072,29.154759474226505,29.154759474226505,29.27456233660889,29.27456233660889,29.410882339705484,29.410882339705484,29.42787793912432,29.42787793912432,29.61418578992169,29.61418578992169,29.73213749463701,29.73213749463701,29.8328677803526,29.8328677803526,30.083217912982647,30.083217912982647,30.083217912982647,30.364452901377952,23.259406699226016,23.706539182259394,24.186773244895647,24.698178070456937,25.238858928247925,25.80697580112788,26.40075756488817,27.0,27.018512172212592,27.018512172212592,27.018512172212592,27.073972741361768,27.073972741361768,27.16615541441225,27.16615541441225,27.29468812791236,27.29468812791236,27.459060435491963,27.459060435491963,27.65863337187866,27.65863337187866,27.65863337187866,27.892651361962702,27.892651361962702,28.0,28.0178514522438,28.0178514522438,28.0713376952364,28.0713376952364,28.16025568065745,28.16025568065745,28.16025568065745,28.16025568065745,28.284271247461906,28.284271247461906,28.319604517012596,28.442925306655784,28.442925306655784,28.46049894151541,28.46049894151541,28.635642126552707,28.635642126552707,28.792360097775937,28.861739379323623,28.861739379323623,29.0,29.120439557122072,29.120439557122072,29.154759474226505,29.410882339705484,410.440007796511,410.48751503547584,0,4,200,7143
2.0,25.079872407968907,25.495097567963924,25.942243542145693,26.419689627245813,26.92582403567252,27.459060435491963,28.0178514522438,28.600699292150185,29.0,29.017236257093817,29.017236257093817,29.068883707497267,29.068883707497267,29.154759474226505,29.154759474226505,29.206163733020468,29.27456233660889,29.27456233660889,29.42787793912432,29.42787793912432,29.61418578992169,29.61418578992169,29.8328677803526,29.8328677803526,29.8328677803526,30.0,30.01666203960727,30.01666203960727,30.066592756745816,30.066592756745816,30.083217912982647,30.083217912982647,30.14962686336267,30.14962686336267,30.265491900843116,30.265491900843116,30.364452901377952,30.364452901377952,30.4138126514911,30.4138126514911,30.479501308256346,30.59411708155671,30.59411708155671,30.675723300355934,30.80584360149873,30.80584360149873,31.016124838541646,31.04834939252005,31.04834939252005,31.144823004794876,23.259406699226016,23.706539182259394,24.186773244895647,24.698178070456937,25.238858928247925,25.80697580112788,26.40075756488817,27.0,27.018512172212592,27.018512172212592,27.018512172212592,27.073972741361768,27.073972741361768,27.16615541441225,27.16615541441225,27.29468812791236,27.29468812791236,27.459060435491963,27.459060435491963,27.65863337187866,27.65863337187866,27.65863337187866,27.892651361962702,27.892651361962702,28.0,28.0178514522438,28.0178514522438,28.0713376952364,28.0713376952364,28.16025568065745,28.16025568065745,28.16025568065745,28.16025568065745,28.284271247461906,28.284271247461906,28.319604517012596,28.442925306655784,28.442925306655784,28.46049894151541,28.46049894151541,28.635642126552707,28.635642126552707,28.792360097775937,28.861739379323623,28.861739379323623,29.0,29.120439557122072,29.120439557122072,29.154759474226505,29.410882339705484,410.39493174258376,410.48751503547584,0,4,200,7179
3.0,26.0,26.40075756488817,26.83281572999748,27.29468812791236,27.784887978899608,28.30194339616981,28.844410203711917,29.410882339705484,30.0,30.0,30.01666203960727,30.01666203960727,30.066592756745816,30.066592756745816,30.14962686336267,30.14962686336267,30.265491900843116,30.265491900843116,30.4138126514911,30.4138126514911,30.59411708155671,30.59411708155671,30.610455730027933,30.80584360149873,30.80584360149873,31.0,31.016124838541646,31.016124838541646,31.04834939252005,31.04834939252005,31.064449134018133,31.064449134018133,31.144823004794876,31.144823004794876,31.240998703626616,31.25699921617557,31.25699921617557,31.32091952673165,31.32091952673165,31.400636936215164,31.400636936215164,31.575306807693888,31.575306807693888,31.622776601683796,31.78049716414141,31.78049716414141,31.89043743820395,31.95309061734092,32.01562118716424,32.01562118716424,23.259406699226016,23.706539182259394,24.186773244895647,24.698178070456937,25.238858928247925,25.80697580112788,26.40075756488817,27.0,27.018512172212592,27.018512172212592,27.018512172212592,27.073972741361768,27.073972741361768,27.16615541441225,27.16615541441225,27.29468812791236,27.29468812791236,27.459060435491963,27.459060435491963,27.65863337187866,27.65863337187866,27.65863337187866,27.892651361962702,27.892651361962702,28.0,28.0178514522438,28.0178514522438,28.0713376952364,28.0713376952364,28.16025568065745,28.16025568065745,28.16025568065745,28.16025568065745,28.284271247461906,28.284271247461906,28.319604517012596,28.442925306655784,28.442925306655784,28.46049894151541,28.46049894151541,28.635642126552707,28.635642126552707,28.792360097775937,28.861739379323623,28.861739379323623,29.0,29.120439557122072,29.120439557122072,29.154759474226505,29.410882339705484,410.3522876748709,410.48751503547584,0,4,200,7214
4.0,26.92582403567252,27.31300056749533,27.73084924772409,28.178005607210743,28.653097563788805,29.154759474226505,29.68164415931166,30.23243291566195,30.80584360149873,31.0,31.016124838541646,31.016124838541646,31.064449134018133,31.064449134018133,31.144823004794876,31.144823004794876,31.25699921617557,31.25699921617557,31.400636936215164,31.400636936215164,31.400636936215164,31.575306807693888,31.575306807693888,31.78049716414141,31.78049716414141,32.0,32.01562118716424,32.01562118716424,32.01562118716424,32.01562118716424,32.01562118716424,32.0624390837628,32.0624390837628,32.14031735997639,32.14031735997639,32.2490309931942,32.2490309931942,32.28002478313795,32.28002478313795,32.38826948140329,32.38826948140329,32.55764119219941,32.55764119219941,32.57299494980466,32.64965543462902,32.7566787083184,32.7566787083184,32.89376840679705,32.984845004941285,32.984845004941285,23.259406699226016,23.706539182259394,24.186773244895647,24.698178070456937,25.238858928247925,25.80697580112788,26.40075756488817,27.0,27.018512172212592,27.018512172212592,27.018512172212592,27.073972741361768,27.073972741361768,27.16615541441225,27.16615541441225,27.29468812791236,27.29468812791236,27.459060435491963,27.459060435491963,27.65863337187866,27.65863337187866,27.65863337187866,27.892651361962702,27.892651361962702,28.0,28.0178514522438,28.0178514522438,28.0713376952364,28.0713376952364,28.16025568065745,28.16025568065745,28.16025568065745,28.16025568065745,28.284271247461906,28.284271247461906,28.319604517012596,28.442925306655784,28.442925306655784,28.46049894151541,28.46049894151541,28.635642126552707,28.635642126552707,28.792360097775937,28.861739379323623,28.861739379323623,29.0,29.120439557122072,29.120439557122072,29.154759474226505,29.410882339705484,410.3120763516473,410.48751503547584,0,4,200,7250
5.0,27.85677655436824,28.231188426986208,28.635642126552707,29.068883707497267,29.5296461204668,30.01666203960727,30.52867504494749,31.064449134018133,31.622776601683796,32.0,32.01562118716424,32.01562118716424,32.0624390837628,32.0624390837628,32.14031735997639,32.14031735997639,32.202484376209235,32.2490309931942,32.2490309931942,32.38826948140329,32.38826948140329,32.55764119219941,32.55764119219941,32.7566787083184,32.7566787083184,32.802438933713454,32.984845004941285,32.984845004941285,33.0,33.015148038438355,33.015148038438355,33.06055050963308,33.06055050963308,33.13608305156178,33.13608305156178,33.24154027718932,33.24154027718932,33.24154027718932,33.24154027718932,33.37663853655727,33.37663853655727,33.421549934136806,33.52610922848042,33.54101966249684,33.54101966249684,33.734255586866,33.734255586866,33.83784863137726,33.95585369269929,33.95585369269929,23.259406699226016,23.706539182259394,24.186773244895647,24.698178070456937,25.238858928247925,25.80697580112788,26.40075756488817,27.0,27.018512172212592,27.018512172212592,27.018512172212592,27.073972741361768,27.073972741361768,27.16615541441225,27.16615541441225,27.29468812791236,27.29468812791236,27.459060435491963,27.459060435491963,27.65863337187866,27.65863337187866,27.65863337187866,27.892651361962702,27.892651361962702,28.0,28.0178514522438,28.0178514522438,28.0713376952364,28.0713376952364,28.16025568065745,28.16025568065745,28.16025568065745,28.16025568065745,28.284271247461906,28.284271247461906,28.319604517012596,28.442925306655784,28.442925306655784,28.46049894151541,28.46049894151541,28.635642126552707,28.635642126552707,28.792360097775937,28.861739379323623,28.861739379323623,29.0,29.120439557122072,29.120439557122072,29.154759474226505,29.410882339705484,410.27429848821873,410.48751503547584,0,4,200,7286
6.0,28.792360097775937,29.154759474226505,29.546573405388315,29.966648127543397,30.4138126514911,30.886890422961,31.38470965295043,31.906112267087632,32.449961479175904,33.0,33.015148038438355,33.015148038438355,33.015148038438355,33.06055050963308,33.06055050963308,33.13608305156178,33.13608305156178,33.24154027718932,33.24154027718932,33.37663853655727,33.37663853655727,33.54101966249684,33.54101966249684,33.60059523282288,33.734255586866,33.734255586866,33.95585369269929,33.95585369269929,34.0,34.0147027033899,34.0147027033899,34.058772731852805,34.058772731852805,34.132096331752024,34.132096331752024,34.20526275297414,34.20526275297414,34.20526275297414,34.23448553724738,34.23448553724738,34.36568055487916,34.36568055487916,34.48187929913333,34.52535300326414,34.52535300326414,34.713109915419565,34.713109915419565,34.785054261852174,34.828149534536,34.92849839314596,23.259406699226016,23.706539182259394,24.186773244895647,24.698178070456937,25.238858928247925,25.80697580112788,26.40075756488817,27.0,27.018512172212592,27.018512172212592,27.018512172212592,27.073972741361768,27.073972741361768,27.16615541441225,27.16615541441225,27.29468812791236,27.29468812791236,27.459060435491963,27.459060435491963,27.65863337187866,27.65863337187866,27.65863337187866,27.892651361962702,27.892651361962702,28.0,28.0178514522438,28.0178514522438,28.0713376952364,28.0713376952364,28.16025568065745,28.16025568065745,28.16025568065745,28.16025568065745,28.284271247461906,28.284271247461906,28.319604517012596,28.442925306655784,28.442925306655784,28.46049894151541,28.46049894151541,28.635642126552707,28.635642126552707,28.792360097775937,28.861739379323623,28.861739379323623,29.0,29.120439557122072,29.120439557122072,29.154759474226505,29.410882339705484,410.23895475685873,410.48751503547584,0,4,200,7321
7.0,29.73213749463701,30.083217912982647,30.463092423455635,30.870698080866266,31.304951684997057,31.76476034853718,32.2490309931942,32.7566787083184,33.28663395418648,33.83784863137726,34.0,34.0147027033899,34.0147027033899,34.058772731852805,34.058772731852805,34.132096331752024,34.132096331752024,34.23448553724738,34.23448553724738,34.36568055487916,34.36568055487916,34.40930106817051,34.52535300326414,34.52535300326414,34.713109915419565,34.713109915419565,34.92849839314596,34.92849839314596,35.0,35.0,35.0142828000232,35.0142828000232,35.05709628591621,35.05709628591621,35.12833614050059,35.12833614050059,35.17101079013795,35.17101079013795,35.22782990761707,35.22782990761707,35.35533905932738,35.35533905932738,35.4400902933387,35.510561809129406,35.510561809129406,35.608987629529715,35.6931365951495,35.6931365951495,35.73513677041127,35.90264614203248,23.259406699226016,23.706539182259394,24.186773244895647,24.698178070456937,25.238858928247925,25.80697580112788,26.40075756488817,27.0,27.018512172212592,27.018512172212592,27.018512172212592,27.073972741361768,27.073972741361768,27.16615541441225,27.16615541441225,27.29468812791236,27.29468812791236,27.459060435491963,27.459060435491963,27.65863337187866,27.65863337187866,27.65863337187866,27.892651361962702,27.892651361962702,28.0,28.0178514522438,28.0178514522438,28.0713376952364,28.0713376952364,28.16025568065745,28.16025568065745,28.16025568065745,28.16025568065745,28.284271247461906,28.284271247461906,28.319604517012596,28.442925306655784,28.442925306655784,28.46049894151541,28.46049894151541,28.635642126552707,28.635642126552707,28.792360097775937,28.861739379323623,28.861739379323623,29.0,29.120439557122072,29.120439557122072,29.154759474226505,29.410882339705484,410.2060457867485,410.48751503547584,0,4,200,7357
8.0,30.675723300355934,31.016124838541646,31.38470965295043,31.78049716414141,32.202484376209235,32.64965543462902,33.12099032335839,33.61547262794322,34.132096331752024,34.66987164671943,35.0,35.0142828000232,35.0142828000232,35.05709628591621,35.05709628591621,35.12833614050059,35.12833614050059,35.22782990761707,35.22782990761707,35.22782990761707,35.35533905932738,35.35533905932738,35.510561809129406,35.510561809129406,35.6931365951495,35.6931365951495,35.805027579936315,35.90264614203248,35.90264614203248,36.0,36.013886210738214,36.013886210738214,36.05551275463989,36.05551275463989,36.12478373637688,36.12478373637688,36.1386219991853,36.1386219991853,36.22154055254967,36.22154055254967,36.345563690772494,36.345563690772494,36.40054944640259,36.40054944640259,36.49657518178932,36.49657518178932,36.6742416417845,36.6742416417845,36.68787265568828,36.87817782917155,23.259406699226016,23.706539182259394,24.186773244895647,24.698178070456937,25.238858928247925,25.80697580112788,26.40075756488817,27.0,27.018512172212592,27.018512172212592,27.018512172212592,27.073972741361768,27.073972741361768,27.16615541441225,27.16615541441225,27.29468812791236,27.29468812791236,27.459060435491963,27.459060435491963,27.65863337187866,27.65863337187866,27.65863337187866,27.892651361962702,27.892651361962702,28.0,28.0178514522438,28.0178514522438,28.0713376952364,28.0713376952364,28.16025568065745,28.16025568065745,28.16025568065745,28.16025568065745,28.284271247461906,28.284271247461906,28.319604517012596,28.442925306655784,28.442925306655784,28.46049894151541,28.46049894151541,28.635642126552707,28.635642126552707,28.792360097775937,28.861739379323623,28.861739379323623,29.0,29.120439557122072,29.120439557122072,29.154759474226505,29.410882339705484,410.17557216392106,410.48751503547584,0,4,200,7393
9.0,31.622776601683796,31.95309061734092,32.31098884280702,32.69556544854363,33.1058907144937,33.54101966249684,34.0,34.48187929913333,34.9857113690718,35.510561809129406,36.0,36.013886210738214,36.013886210738214,36.05551275463989,36.05551275463989,36.05551275463989,36.12478373637688,36.12478373637688,36.22154055254967,36.22154055254967,36.345563690772494,36.345563690772494,36.49657518178932,36.49657518178932,36.61966684720111,36.6742416417845,36.6742416417845,36.87817782917155,36.87817782917155,37.0,37.01351104664349,37.01351104664349,37.05401462729781,37.05401462729781,37.10795063055895,37.10795063055895,37.12142238654117,37.12142238654117,37.20215047547655,37.21558813185679,37.21558813185679,37.33630940518894,37.33630940518894,37.36308338453881,37.48332962798263,37.48332962798263,37.64306044943742,37.65634076752546,37.65634076752546,37.8021163428716,23.259406699226016,23.706539182259394,24.186773244895647,24.698178070456937,25.238858928247925,25.80697580112788,26.40075756488817,27.0,27.018512172212592,27.018512172212592,27.018512172212592,27.073972741361768,27.073972741361768,27.16615541441225,27.16615541441225,27.29468812791236,27.29468812791236,27.459060435491963,27.459060435491963,27.65863337187866,27.65863337187866,27.65863337187866,27.892651361962702,27.892651361962702,28.0,28.0178514522438,28.0178514522438,28.0713376952364,28.0713376952364,28.16025568065745,28.16025568065745,28.16025568065745,28.16025568065745,28.284271247461906,28.284271247461906,28.319604517012596,28.442925306655784,28.442925306655784,28.46049894151541,28.46049894151541,28.635642126552707,28.635642126552707,28.792360097775937,28.861739379323623,28.861739379323623,29.0,29.120439557122072,29.120439557122072,29.154759474226505,29.410882339705484,410.1475344312093,410.48751503547584,0,4,200,7429
10.0,32.57299494980466,32.89376840679705,33.24154027718932,33.61547262794322,34.0147027033899,34.438350715445125,34.88552708502482,35.35533905932738,35.84689665786984,36.359317925395686,36.89173349139343,37.0,37.01351104664349,37.01351104664349,37.05401462729781,37.05401462729781,37.12142238654117,37.12142238654117,37.21558813185679,37.21558813185679,37.33630940518894,37.33630940518894,37.44329045369811,37.48332962798263,37.48332962798263,37.65634076752546,37.65634076752546,37.8549864614954,37.8549864614954,38.0,38.01315561749642,38.01315561749642,38.01315561749642,38.05259518088089,38.05259518088089,38.07886552931954,38.07886552931954,38.07886552931954,38.11823710509184,38.11823710509184,38.2099463490856,38.2099463490856,38.3275357934736,38.3275357934736,38.3275357934736,38.3275357934736,38.47076812334269,38.47076812334269,38.60051813123757,38.60051813123757,23.259406699226016,23.706539182259394,24.186773244895647,24.698178070456937,25.238858928247925,25.80697580112788,26.40075756488817,27.0,27.018512172212592,27.018512172212592,27.018512172212592,27.073972741361768,27.073972741361768,27.16615541441225,27.16615541441225,27.29468812791236,27.29468812791236,27.459060435491963,27.459060435491963,27.65863337187866,27.65863337187866,27.65863337187866,27.892651361962702,27.892651361962702,28.0,28.0178514522438,28.0178514522438,28.0713376952364,28.0713376952364,28.16025568065745,28.16025568065745,28.16025568065745,28.16025568065745,28.284271247461906,28.284271247461906,28.319604517012596,28.442925306655784,28.442925306655784,28.46049894151541,28.46049894151541,28.635642126552707,28.635642126552707,28.792360097775937,28.861739379323623,28.861739379323623,29.0,29.120439557122072,29.120439557122072,29.154759474226505,29.410882339705484,410.1219330881976,410.48751503547584,0,4,200,7464
