dataset_game_frame,label
dataset_1_game_00_frame_1,4
dataset_1_game_00_frame_2,4
dataset_1_game_00_frame_3,4
dataset_1_game_00_frame_4,4
dataset_1_game_00_frame_5,4
dataset_1_game_00_frame_6,4
dataset_1_game_00_frame_7,4
dataset_1_game_00_frame_8,4
dataset_1_game_00_frame_9,4
dataset_1_game_00_frame_10,4
dataset_1_game_00_frame_11,4
dataset_1_game_00_frame_12,4
dataset_1_game_00_frame_13,4
dataset_1_game_00_frame_14,4
dataset_1_game_00_frame_15,4
dataset_1_game_00_frame_16,4
dataset_1_game_00_frame_17,4
dataset_1_game_00_frame_18,0
dataset_1_game_00_frame_19,0
dataset_1_game_00_frame_20,0
dataset_1_game_00_frame_21,0
dataset_1_game_00_frame_22,0
dataset_1_game_00_frame_23,0
dataset_1_game_00_frame_24,0
dataset_1_game_00_frame_25,0
dataset_1_game_00_frame_26,0
dataset_1_game_00_frame_27,0
dataset_1_game_00_frame_28,0
dataset_1_game_00_frame_29,0
dataset_1_game_00_frame_30,0
dataset_1_game_00_frame_31,0
dataset_1_game_00_frame_32,0
dataset_1_game_00_frame_33,0
dataset_1_game_00_frame_34,0
dataset_1_game_00_frame_35,0
dataset_1_game_00_frame_36,0
dataset_1_game_00_frame_37,0
dataset_1_game_00_frame_38,0
dataset_1_game_00_frame_39,0
dataset_1_game_00_frame_40,0
dataset_1_game_00_frame_41,0
dataset_1_game_00_frame_42,0
dataset_1_game_00_frame_43,0
dataset_1_game_00_frame_44,0
dataset_1_game_00_frame_45,0
dataset_1_game_00_frame_46,0
dataset_1_game_00_frame_47,0
dataset_1_game_00_frame_48,0
dataset_1_game_00_frame_49,0
dataset_1_game_00_frame_50,0
dataset_1_game_00_frame_51,0
dataset_1_game_00_frame_52,0
dataset_1_game_00_frame_53,0
dataset_1_game_00_frame_54,0
dataset_1_game_00_frame_55,0
dataset_1_game_00_frame_56,0
dataset_1_game_00_frame_57,0
dataset_1_game_00_frame_58,0
dataset_1_game_00_frame_59,0
dataset_1_game_00_frame_60,0
dataset_1_game_00_frame_61,0
dataset_1_game_00_frame_62,0
dataset_1_game_00_frame_63,0
dataset_1_game_00_frame_64,0
dataset_1_game_00_frame_65,0
dataset_1_game_00_frame_66,0
dataset_1_game_00_frame_67,4
dataset_1_game_00_frame_68,4
dataset_1_game_00_frame_69,4
dataset_1_game_00_frame_70,0
dataset_1_game_00_frame_71,0
dataset_1_game_00_frame_72,0
dataset_1_game_00_frame_73,0
dataset_1_game_00_frame_74,0
dataset_1_game_00_frame_75,0
dataset_1_game_00_frame_76,0
dataset_1_game_00_frame_77,0
dataset_1_game_00_frame_78,0
dataset_1_game_00_frame_79,0
dataset_1_game_00_frame_80,0
dataset_1_game_00_frame_81,0
dataset_1_game_00_frame_82,0
dataset_1_game_00_frame_83,0
dataset_1_game_00_frame_84,0
dataset_1_game_00_frame_85,0
dataset_1_game_00_frame_86,0
dataset_1_game_00_frame_87,0
dataset_1_game_00_frame_88,0
dataset_1_game_00_frame_89,0
dataset_1_game_00_frame_90,0
dataset_1_game_00_frame_91,0
dataset_1_game_00_frame_92,0
dataset_1_game_00_frame_93,0
dataset_1_game_00_frame_94,0
dataset_1_game_00_frame_95,0
dataset_1_game_00_frame_96,0
dataset_1_game_00_frame_97,0
dataset_1_game_00_frame_98,0
dataset_1_game_00_frame_99,0
dataset_1_game_00_frame_100,0
dataset_1_game_00_frame_101,0
dataset_1_game_00_frame_102,0
dataset_1_game_00_frame_103,0
dataset_1_game_00_frame_104,0
dataset_1_game_00_frame_105,0
dataset_1_game_00_frame_106,0
dataset_1_game_00_frame_107,0
dataset_1_game_00_frame_108,0
dataset_1_game_00_frame_109,0
dataset_1_game_00_frame_110,0
dataset_1_game_00_frame_111,0
dataset_1_game_00_frame_112,0
dataset_1_game_00_frame_113,0
dataset_1_game_00_frame_114,0
dataset_1_game_00_frame_115,0
dataset_1_game_00_frame_116,0
dataset_1_game_00_frame_117,0
dataset_1_game_00_frame_118,0
dataset_1_game_00_frame_119,0
dataset_1_game_00_frame_120,0
dataset_1_game_00_frame_121,0
dataset_1_game_00_frame_122,0
dataset_1_game_00_frame_123,0
dataset_1_game_00_frame_124,0
dataset_1_game_00_frame_125,0
dataset_1_game_00_frame_126,0
dataset_1_game_00_frame_127,0
dataset_1_game_00_frame_128,0
dataset_1_game_00_frame_129,0
dataset_1_game_00_frame_130,0
dataset_1_game_00_frame_131,0
dataset_1_game_00_frame_132,0
dataset_1_game_00_frame_133,0
dataset_1_game_00_frame_134,0
dataset_1_game_00_frame_135,0
dataset_1_game_00_frame_136,0
dataset_1_game_00_frame_137,0
dataset_1_game_00_frame_138,0
dataset_1_game_00_frame_139,0
dataset_1_game_00_frame_140,0
dataset_1_game_00_frame_141,0
dataset_1_game_00_frame_142,0
dataset_1_game_00_frame_143,0
dataset_1_game_00_frame_144,0
dataset_1_game_00_frame_145,0
dataset_1_game_00_frame_146,0
dataset_1_game_00_frame_147,0
dataset_1_game_00_frame_148,0
dataset_1_game_00_frame_149,0
dataset_1_game_00_frame_150,0
dataset_1_game_00_frame_151,0
dataset_1_game_00_frame_152,4
dataset_1_game_00_frame_153,4
dataset_1_game_00_frame_154,4
dataset_1_game_00_frame_155,4
dataset_1_game_00_frame_156,4
dataset_1_game_00_frame_157,4
dataset_1_game_00_frame_158,4
dataset_1_game_00_frame_159,4
dataset_1_game_00_frame_160,4
dataset_1_game_00_frame_161,4
dataset_1_game_00_frame_162,4
dataset_1_game_00_frame_163,4
dataset_1_game_00_frame_164,4
dataset_1_game_00_frame_165,4
dataset_1_game_00_frame_166,4
dataset_1_game_00_frame_167,4
dataset_1_game_00_frame_168,4
dataset_1_game_00_frame_169,4
dataset_1_game_00_frame_170,0
dataset_1_game_00_frame_171,0
dataset_1_game_00_frame_172,0
dataset_1_game_00_frame_173,0
dataset_1_game_00_frame_174,0
dataset_1_game_00_frame_175,0
dataset_1_game_00_frame_176,0
dataset_1_game_00_frame_177,0
dataset_1_game_00_frame_178,0
dataset_1_game_00_frame_179,0
dataset_1_game_00_frame_180,0
dataset_1_game_00_frame_181,0
dataset_1_game_00_frame_182,0
dataset_1_game_00_frame_183,0
dataset_1_game_00_frame_184,0
dataset_1_game_00_frame_185,0
dataset_1_game_00_frame_186,0
dataset_1_game_00_frame_187,0
dataset_1_game_00_frame_188,0
dataset_1_game_00_frame_189,0
dataset_1_game_00_frame_190,0
dataset_1_game_00_frame_191,0
dataset_1_game_00_frame_192,0
dataset_1_game_00_frame_193,0
dataset_1_game_00_frame_194,0
dataset_1_game_00_frame_195,0
dataset_1_game_00_frame_196,0
dataset_1_game_00_frame_197,0
dataset_1_game_00_frame_198,0
dataset_1_game_00_frame_199,0
dataset_1_game_00_frame_200,4
dataset_1_game_00_frame_201,4
dataset_1_game_00_frame_202,4
dataset_1_game_00_frame_203,4
dataset_1_game_00_frame_204,4
dataset_1_game_00_frame_205,0
dataset_1_game_00_frame_206,0
dataset_1_game_00_frame_207,0
dataset_1_game_00_frame_208,0
dataset_1_game_00_frame_209,0
dataset_1_game_00_frame_210,0
dataset_1_game_00_frame_211,0
dataset_1_game_00_frame_212,0
dataset_1_game_00_frame_213,0
dataset_1_game_00_frame_214,0
dataset_1_game_00_frame_215,0
dataset_1_game_00_frame_216,0
dataset_1_game_00_frame_217,0
dataset_1_game_00_frame_218,0
dataset_1_game_00_frame_219,0
dataset_1_game_00_frame_220,0
dataset_1_game_00_frame_221,0
dataset_1_game_00_frame_222,0
dataset_1_game_00_frame_223,0
dataset_1_game_00_frame_224,0
dataset_1_game_00_frame_225,0
dataset_1_game_00_frame_226,0
dataset_1_game_00_frame_227,0
dataset_1_game_00_frame_228,0
dataset_1_game_00_frame_229,0
dataset_1_game_00_frame_230,0
dataset_1_game_00_frame_231,0
dataset_1_game_00_frame_232,0
dataset_1_game_00_frame_233,0
dataset_1_game_00_frame_234,0
dataset_1_game_00_frame_235,0
dataset_1_game_00_frame_236,0
dataset_1_game_00_frame_237,0
dataset_1_game_00_frame_238,0
dataset_1_game_00_frame_239,0
dataset_1_game_00_frame_240,0
dataset_1_game_00_frame_241,0
dataset_1_game_00_frame_242,0
dataset_1_game_00_frame_243,0
dataset_1_game_00_frame_244,0
dataset_1_game_00_frame_245,0
dataset_1_game_00_frame_246,0
dataset_1_game_00_frame_247,0
dataset_1_game_00_frame_248,0
dataset_1_game_00_frame_249,0
dataset_1_game_00_frame_250,0
dataset_1_game_00_frame_251,0
dataset_1_game_00_frame_252,0
