P1_X,P1_Y,P1_Direction,P1_Crashed,P1_ReachedGoal,P2_X,P2_Y,P2_Direction,P2_Crashed,P2_ReachedGoal
599,593,4,0,0,599,593,4,0,0
599,593,4,0,0,599,593,4,0,0
599,593,4,0,0,599,593,4,0,0
599,593,4,0,0,599,593,4,0,0
599,593,4,0,0,599,593,4,0,0
599,593,4,0,0,599,593,4,0,0
599,593,4,0,0,599,593,4,0,0
599,593,4,0,0,599,593,4,0,0
599,593,4,0,0,599,593,4,0,0
599,593,4,0,0,599,593,4,0,0
599,593,4,0,0,599,593,4,0,0
599,593,4,0,0,599,593,4,0,0
599,593,4,0,0,599,593,4,0,0
599,593,4,0,0,599,593,4,0,0
599,593,4,0,0,599,593,4,0,0
599,593,4,0,0,599,593,4,0,0
599,593,4,0,0,599,593,4,0,0
599,593,4,0,0,599,593,4,0,0
599,593,4,0,0,599,593,4,0,0
599,593,4,0,0,599,593,4,0,0
599,593,4,0,0,599,593,4,0,0
599,593,4,0,0,599,593,4,0,0
599,593,4,0,0,599,593,4,0,0
599,593,4,0,0,599,593,4,0,0
599,593,4,0,0,599,593,4,0,0
599,593,4,0,0,599,593,4,0,0
599,593,4,0,0,599,593,4,0,0
599,593,4,0,0,599,593,4,0,0
599,593,4,0,0,599,593,4,0,0
599,593,4,0,0,599,593,4,0,0
599,593,4,0,0,599,593,4,0,0
599,593,4,0,0,599,593,4,0,0
599,593,4,0,0,599,593,4,0,0
599,593,4,0,0,599,593,4,0,0
599,592,2,0,0,599,593,4,0,0
599,591,2,0,0,599,593,4,0,0
599,590,2,0,0,599,593,4,0,0
599,589,2,0,0,599,593,4,0,0
599,588,2,0,0,599,593,4,0,0
599,587,2,0,0,599,593,4,0,0
599,586,2,0,0,599,593,4,0,0
599,585,2,0,0,599,593,4,0,0
599,584,2,0,0,599,593,4,0,0
599,583,2,0,0,599,593,4,0,0
599,582,2,0,0,599,593,4,0,0
599,581,2,0,0,599,593,4,0,0
599,580,2,0,0,599,593,4,0,0
599,579,2,0,0,599,593,4,0,0
599,578,2,0,0,599,593,4,0,0
599,577,2,0,0,599,593,4,0,0
599,576,2,0,0,599,593,4,0,0
599,575,2,0,0,599,593,4,0,0
599,574,2,0,0,599,593,4,0,0
599,573,2,0,0,599,593,4,0,0
599,572,2,0,0,599,593,4,0,0
599,571,2,0,0,599,593,4,0,0
599,570,2,0,0,599,593,4,0,0
599,569,2,0,0,599,593,4,0,0
599,568,2,0,0,599,593,4,0,0
599,567,2,0,0,599,593,4,0,0
599,566,2,0,0,599,593,4,0,0
599,565,2,0,0,599,593,4,0,0
599,564,2,0,0,599,593,4,0,0
