P1_to_P2_relative_position,P1_to_obs_1_relative_position,P1_to_obs_2_relative_position,P1_to_obs_3_relative_position,P1_to_obs_4_relative_position,P1_to_obs_5_relative_position,P2_to_obs_1_relative_position,P2_to_obs_2_relative_position,P2_to_obs_3_relative_position,P2_to_obs_4_relative_position,P2_to_obs_5_relative_position,P1_to_goal_relative_position,P2_to_goal_relative_position,P1_to_P2_relative_position_tag,P1_to_obs_1_relative_position_tag,P1_to_obs_2_relative_position_tag,P1_to_obs_3_relative_position_tag,P1_to_obs_4_relative_position_tag,P1_to_obs_5_relative_position_tag,P2_to_obs_1_relative_position_tag,P2_to_obs_2_relative_position_tag,P2_to_obs_3_relative_position_tag,P2_to_obs_4_relative_position_tag,P2_to_obs_5_relative_position_tag,P1_to_goal_relative_position_tag,P2_to_goal_relative_position_tag,P1_action,reward,timestamp_milliseconds
"(0, 1)","(-24.0, 0.0)","(0.0, 51.0)","(-79.0, 0.0)","(-81, 4)","(-85, 74)","(-24.0, 0.0)","(0.0, 50.0)","(-79.0, 0.0)","(-81, 3)","(-85, 73)","(-624, 280)","(-624, 279)","(0, 2)","(-24.0, 0.0)","(0.0, 52.0)","(-79.0, 0.0)","(-81, 5)","(-85, 75)","(-24.0, 0.0)","(0.0, 50.0)","(-79.0, 0.0)","(-81, 3)","(-85, 73)","(-624, 281)","(-624, 279)",3,200,7107
"(0, 2)","(-24.0, 0.0)","(0.0, 52.0)","(-79.0, 0.0)","(-81, 5)","(-85, 75)","(-24.0, 0.0)","(0.0, 50.0)","(-79.0, 0.0)","(-81, 3)","(-85, 73)","(-624, 281)","(-624, 279)","(0, 3)","(-24.0, 0.0)","(0.0, 53.0)","(-79.0, 0.0)","(-81, 6)","(-85, 76)","(-24.0, 0.0)","(0.0, 50.0)","(-79.0, 0.0)","(-81, 3)","(-85, 73)","(-624, 282)","(-624, 279)",3,200,7143
"(0, 3)","(-24.0, 0.0)","(0.0, 53.0)","(-79.0, 0.0)","(-81, 6)","(-85, 76)","(-24.0, 0.0)","(0.0, 50.0)","(-79.0, 0.0)","(-81, 3)","(-85, 73)","(-624, 282)","(-624, 279)","(0, 4)","(-24.0, 0.0)","(0.0, 54.0)","(-79.0, 0.0)","(-81, 7)","(-85, 77)","(-24.0, 0.0)","(0.0, 50.0)","(-79.0, 0.0)","(-81, 3)","(-85, 73)","(-624, 283)","(-624, 279)",3,200,7179
"(0, 4)","(-24.0, 0.0)","(0.0, 54.0)","(-79.0, 0.0)","(-81, 7)","(-85, 77)","(-24.0, 0.0)","(0.0, 50.0)","(-79.0, 0.0)","(-81, 3)","(-85, 73)","(-624, 283)","(-624, 279)","(0, 5)","(-24.0, 0.0)","(0.0, 55.0)","(-79.0, 0.0)","(-81, 8)","(-85, 78)","(-24.0, 0.0)","(0.0, 50.0)","(-79.0, 0.0)","(-81, 3)","(-85, 73)","(-624, 284)","(-624, 279)",3,200,7214
"(0, 5)","(-24.0, 0.0)","(0.0, 55.0)","(-79.0, 0.0)","(-81, 8)","(-85, 78)","(-24.0, 0.0)","(0.0, 50.0)","(-79.0, 0.0)","(-81, 3)","(-85, 73)","(-624, 284)","(-624, 279)","(0, 6)","(-24.0, 0.0)","(0.0, 56.0)","(-79.0, 0.0)","(-81, 9)","(-85, 79)","(-24.0, 0.0)","(0.0, 50.0)","(-79.0, 0.0)","(-81, 3)","(-85, 73)","(-624, 285)","(-624, 279)",3,200,7250
"(0, 6)","(-24.0, 0.0)","(0.0, 56.0)","(-79.0, 0.0)","(-81, 9)","(-85, 79)","(-24.0, 0.0)","(0.0, 50.0)","(-79.0, 0.0)","(-81, 3)","(-85, 73)","(-624, 285)","(-624, 279)","(0, 7)","(-24.0, 0.0)","(0.0, 57.0)","(-79.0, 0.0)","(-81, 10)","(-85, 80)","(-24.0, 0.0)","(0.0, 50.0)","(-79.0, 0.0)","(-81, 3)","(-85, 73)","(-624, 286)","(-624, 279)",3,200,7286
"(0, 7)","(-24.0, 0.0)","(0.0, 57.0)","(-79.0, 0.0)","(-81, 10)","(-85, 80)","(-24.0, 0.0)","(0.0, 50.0)","(-79.0, 0.0)","(-81, 3)","(-85, 73)","(-624, 286)","(-624, 279)","(0, 8)","(-24.0, 0.0)","(0.0, 58.0)","(-79.0, 0.0)","(-81, 11)","(-85, 81)","(-24.0, 0.0)","(0.0, 50.0)","(-79.0, 0.0)","(-81, 3)","(-85, 73)","(-624, 287)","(-624, 279)",3,200,7321
"(0, 8)","(-24.0, 0.0)","(0.0, 58.0)","(-79.0, 0.0)","(-81, 11)","(-85, 81)","(-24.0, 0.0)","(0.0, 50.0)","(-79.0, 0.0)","(-81, 3)","(-85, 73)","(-624, 287)","(-624, 279)","(0, 9)","(-24.0, 0.0)","(0.0, 59.0)","(-79.0, 0.0)","(-81, 12)","(-85, 82)","(-24.0, 0.0)","(0.0, 50.0)","(-79.0, 0.0)","(-81, 3)","(-85, 73)","(-624, 288)","(-624, 279)",3,200,7357
"(0, 9)","(-24.0, 0.0)","(0.0, 59.0)","(-79.0, 0.0)","(-81, 12)","(-85, 82)","(-24.0, 0.0)","(0.0, 50.0)","(-79.0, 0.0)","(-81, 3)","(-85, 73)","(-624, 288)","(-624, 279)","(0, 10)","(-24.0, 0.0)","(0.0, 60.0)","(-79.0, 0.0)","(-81, 13)","(-85, 83)","(-24.0, 0.0)","(0.0, 50.0)","(-79.0, 0.0)","(-81, 3)","(-85, 73)","(-624, 289)","(-624, 279)",3,200,7393
"(0, 10)","(-24.0, 0.0)","(0.0, 60.0)","(-79.0, 0.0)","(-81, 13)","(-85, 83)","(-24.0, 0.0)","(0.0, 50.0)","(-79.0, 0.0)","(-81, 3)","(-85, 73)","(-624, 289)","(-624, 279)","(0, 11)","(-24.0, 0.0)","(0.0, 61.0)","(-79.0, 0.0)","(-81, 14)","(-85, 84)","(-24.0, 0.0)","(0.0, 50.0)","(-79.0, 0.0)","(-81, 3)","(-85, 73)","(-624, 290)","(-624, 279)",3,200,7429
