P1_to_P2_relative_position,P1_to_obs_1_relative_position,P1_to_obs_2_relative_position,P1_to_obs_3_relative_position,P1_to_obs_4_relative_position,P1_to_obs_5_relative_position,P2_to_obs_1_relative_position,P2_to_obs_2_relative_position,P2_to_obs_3_relative_position,P2_to_obs_4_relative_position,P2_to_obs_5_relative_position,P1_to_goal_relative_position,P2_to_goal_relative_position,P1_to_P2_relative_position_tag,P1_to_obs_1_relative_position_tag,P1_to_obs_2_relative_position_tag,P1_to_obs_3_relative_position_tag,P1_to_obs_4_relative_position_tag,P1_to_obs_5_relative_position_tag,P2_to_obs_1_relative_position_tag,P2_to_obs_2_relative_position_tag,P2_to_obs_3_relative_position_tag,P2_to_obs_4_relative_position_tag,P2_to_obs_5_relative_position_tag,P1_to_goal_relative_position_tag,P2_to_goal_relative_position_tag,P1_action,reward,timestamp_milliseconds
"(-1, 0)","(63, -27)","(0.0, -78.0)","(100.0, 0.0)","(-24, -98)","(29, -110)","(64, -27)","(0.0, -78.0)","(-23, -98)","(101.0, 0.0)","(30, -110)","(60, -21)","(61, -21)","(-2, 0)","(62, -27)","(0.0, -78.0)","(99.0, 0.0)","(-25, -98)","(28, -110)","(64, -27)","(0.0, -78.0)","(-23, -98)","(101.0, 0.0)","(30, -110)","(59, -21)","(61, -21)",0,200,6889
"(-2, 0)","(62, -27)","(0.0, -78.0)","(99.0, 0.0)","(-25, -98)","(28, -110)","(64, -27)","(0.0, -78.0)","(-23, -98)","(101.0, 0.0)","(30, -110)","(59, -21)","(61, -21)","(-3, 0)","(61, -27)","(0.0, -78.0)","(98.0, 0.0)","(-26, -98)","(27, -110)","(64, -27)","(0.0, -78.0)","(-23, -98)","(101.0, 0.0)","(30, -110)","(58, -21)","(61, -21)",0,200,6926
"(-3, 0)","(61, -27)","(0.0, -78.0)","(98.0, 0.0)","(-26, -98)","(27, -110)","(64, -27)","(0.0, -78.0)","(-23, -98)","(101.0, 0.0)","(30, -110)","(58, -21)","(61, -21)","(-4, 0)","(60, -27)","(0.0, -78.0)","(97.0, 0.0)","(-27, -98)","(26, -110)","(64, -27)","(0.0, -78.0)","(-23, -98)","(101.0, 0.0)","(30, -110)","(57, -21)","(61, -21)",0,200,6963
"(-4, 0)","(60, -27)","(0.0, -78.0)","(97.0, 0.0)","(-27, -98)","(26, -110)","(64, -27)","(0.0, -78.0)","(-23, -98)","(101.0, 0.0)","(30, -110)","(57, -21)","(61, -21)","(-5, 0)","(59, -27)","(0.0, -78.0)","(96.0, 0.0)","(-28, -98)","(25, -110)","(64, -27)","(0.0, -78.0)","(-23, -98)","(101.0, 0.0)","(30, -110)","(56, -21)","(61, -21)",0,200,7000
"(-5, 0)","(59, -27)","(0.0, -78.0)","(96.0, 0.0)","(-28, -98)","(25, -110)","(64, -27)","(0.0, -78.0)","(-23, -98)","(101.0, 0.0)","(30, -110)","(56, -21)","(61, -21)","(-6, 0)","(58, -27)","(0.0, -78.0)","(95.0, 0.0)","(-29, -98)","(24, -110)","(64, -27)","(0.0, -78.0)","(-23, -98)","(101.0, 0.0)","(30, -110)","(55, -21)","(61, -21)",0,200,7036
"(-6, 0)","(58, -27)","(0.0, -78.0)","(95.0, 0.0)","(-29, -98)","(24, -110)","(64, -27)","(0.0, -78.0)","(-23, -98)","(101.0, 0.0)","(30, -110)","(55, -21)","(61, -21)","(-7, 0)","(57, -27)","(0.0, -78.0)","(94.0, 0.0)","(-30, -98)","(23, -110)","(64, -27)","(0.0, -78.0)","(-23, -98)","(101.0, 0.0)","(30, -110)","(54, -21)","(61, -21)",0,200,7071
"(-7, 0)","(57, -27)","(0.0, -78.0)","(94.0, 0.0)","(-30, -98)","(23, -110)","(64, -27)","(0.0, -78.0)","(-23, -98)","(101.0, 0.0)","(30, -110)","(54, -21)","(61, -21)","(-8, 0)","(56, -27)","(0.0, -78.0)","(93.0, 0.0)","(-31, -98)","(22, -110)","(64, -27)","(0.0, -78.0)","(-23, -98)","(101.0, 0.0)","(30, -110)","(53, -21)","(61, -21)",0,200,7107
"(-8, 0)","(56, -27)","(0.0, -78.0)","(93.0, 0.0)","(-31, -98)","(22, -110)","(64, -27)","(0.0, -78.0)","(-23, -98)","(101.0, 0.0)","(30, -110)","(53, -21)","(61, -21)","(-9, 0)","(55, -27)","(0.0, -78.0)","(92.0, 0.0)","(-32, -98)","(21, -110)","(64, -27)","(0.0, -78.0)","(-23, -98)","(101.0, 0.0)","(30, -110)","(52, -21)","(61, -21)",0,200,7143
"(-9, 0)","(55, -27)","(0.0, -78.0)","(92.0, 0.0)","(-32, -98)","(21, -110)","(64, -27)","(0.0, -78.0)","(-23, -98)","(101.0, 0.0)","(30, -110)","(52, -21)","(61, -21)","(-10, 0)","(54, -27)","(0.0, -78.0)","(91.0, 0.0)","(-33, -98)","(20, -110)","(64, -27)","(0.0, -78.0)","(-23, -98)","(101.0, 0.0)","(30, -110)","(51, -21)","(61, -21)",0,200,7179
"(-10, 0)","(54, -27)","(0.0, -78.0)","(91.0, 0.0)","(-33, -98)","(20, -110)","(64, -27)","(0.0, -78.0)","(-23, -98)","(101.0, 0.0)","(30, -110)","(51, -21)","(61, -21)","(-11, 0)","(53, -27)","(0.0, -78.0)","(90.0, 0.0)","(-34, -98)","(19, -110)","(64, -27)","(0.0, -78.0)","(-23, -98)","(101.0, 0.0)","(30, -110)","(50, -21)","(61, -21)",0,200,7214
