P1_to_P2_distance,P1_to_obs_1_distance,P1_to_obs_2_distance,P1_to_obs_3_distance,P1_to_obs_4_distance,P1_to_obs_5_distance,P2_to_obs_1_distance,P2_to_obs_2_distance,P2_to_obs_3_distance,P2_to_obs_4_distance,P2_to_obs_5_distance,P1_to_goal_distance,P2_to_goal_distance,P1_action,P2_action,reward,timestamp_milliseconds
1.0,16.15549442140351,51.0,67.1863081289633,87.80091115700337,100.60318086422517,15.231546211727817,51.0,67.26812023536856,88.05679985100527,101.40019723846694,363.8804748815193,363.73616812189573,3,4,200,19250
2.0,17.08800749063506,51.0,67.11929677819934,87.55569655939013,99.80981915623332,15.231546211727817,51.0,67.26812023536856,88.05679985100527,101.40019723846694,364.02747149082035,363.73616812189573,3,4,200,19286
3.0,18.027756377319946,51.0,67.06713054842886,87.32124598286491,99.02019995940222,15.231546211727817,51.0,67.26812023536856,88.05679985100527,101.40019723846694,364.17715469260287,363.73616812189573,3,4,200,19321
4.0,18.973665961010276,51.0,67.02984409947557,87.0976463516667,98.2344135219425,15.231546211727817,51.0,67.26812023536856,88.05679985100527,101.40019723846694,364.3295211755424,363.73616812189573,3,4,200,19357
5.0,19.924858845171276,51.0,67.00746227100382,86.88498144098322,97.45255255764212,15.231546211727817,51.0,67.26812023536856,88.05679985100527,101.40019723846694,364.4845675745408,363.73616812189573,3,4,200,19393
6.0,20.8806130178211,51.0,67.0,86.68333173107735,96.67471230885562,15.231546211727817,51.0,67.26812023536856,88.05679985100527,101.40019723846694,364.6422904710862,363.73616812189573,3,4,200,19429
7.0,21.840329667841555,51.0,67.0,86.49277426467485,95.90099061010788,15.231546211727817,51.0,67.26812023536856,88.05679985100527,101.40019723846694,364.8026863936174,363.73616812189573,3,4,200,19464
8.0,22.80350850198276,51.0,67.0,86.31338250816034,95.13148795220224,15.231546211727817,51.0,67.26812023536856,88.05679985100527,101.40019723846694,364.9657518178932,363.73616812189573,3,4,200,19500
9.0,23.769728648009426,51.0,67.0,86.14522621712709,94.36630754670864,15.231546211727817,51.0,67.26812023536856,88.05679985100527,101.40019723846694,365.13148316736533,363.73616812189573,3,4,200,19536
10.0,24.73863375370596,51.0,67.0,85.98837130682264,93.60555539069249,15.231546211727817,51.0,67.26812023536856,88.05679985100527,101.40019723846694,365.2998768135571,363.73616812189573,3,4,200,19571
11.0,25.709920264364882,51.0,67.0,85.84287972802403,92.84934033152847,15.231546211727817,51.0,67.26812023536856,88.05679985100527,101.40019723846694,365.47092907644515,363.73616812189573,3,4,200,19607
12.0,26.68332812825267,51.0,67.0,85.70880934886448,92.09777413162601,15.231546211727817,51.0,67.26812023536856,88.05679985100527,101.40019723846694,365.64463622484607,363.73616812189573,3,4,200,19643
13.0,27.65863337187866,51.0,67.0,85.58621384311844,91.35097153287424,15.231546211727817,51.0,67.26812023536856,88.05679985100527,101.40019723846694,365.8209944768069,363.73616812189573,3,4,200,19679
14.0,28.635642126552707,51.0,67.0,85.47514258543241,90.60905032059435,15.231546211727817,51.0,67.26812023536856,88.05679985100527,101.40019723846694,366.0,363.73616812189573,3,4,200,19714
15.0,29.614185789921695,51.0,67.0,85.37564055396598,89.87213138676528,15.231546211727817,51.0,67.26812023536856,88.05679985100527,101.40019723846694,366.1816489121212,363.73616812189573,3,4,200,19750
16.0,30.59411708155671,51.0,67.0,85.28774824088158,89.1403387922662,15.231546211727817,51.0,67.26812023536856,88.05679985100527,101.40019723846694,366.3659372812926,363.73616812189573,3,4,200,19786
17.0,31.575306807693888,51.0,67.0,85.21150157109074,88.41379982785493,15.231546211727817,51.0,67.26812023536856,88.05679985100527,101.40019723846694,366.5528611264684,363.73616812189573,3,4,200,19821
18.0,32.55764119219941,51.0,67.0,85.14693182963201,87.69264507357501,15.231546211727817,51.0,67.26812023536856,88.05679985100527,101.40019723846694,366.742416417845,363.73616812189573,3,4,200,19857
19.0,33.54101966249684,51.0,67.0,85.09406559801923,86.97700845625813,15.231546211727817,51.0,67.26812023536856,88.05679985100527,101.40019723846694,366.93459907727424,363.73616812189573,3,4,200,19893
20.0,34.52535300326414,51.0,67.0,85.05292469985967,86.2670273047588,15.231546211727817,51.0,67.26812023536856,88.05679985100527,101.40019723846694,367.1294049786805,363.73616812189573,3,4,200,19929
21.0,35.510561809129406,51.0,67.0,85.0235261559999,85.56284240252891,15.231546211727817,51.0,67.26812023536856,88.05679985100527,101.40019723846694,367.3268299484806,363.73616812189573,3,4,200,19964
22.0,36.49657518178932,51.0,67.0,84.86459803710851,85.00588214941364,15.231546211727817,51.0,67.26812023536856,88.05679985100527,101.40019723846694,367.52686976600774,363.73616812189573,3,4,200,20000
23.0,37.48332962798263,51.0,67.0,84.17244204607586,85.0,15.231546211727817,51.0,67.26812023536856,88.05679985100527,101.40019723846694,367.7295201639379,363.73616812189573,3,4,200,20037
24.0,38.47076812334269,51.0,67.0,83.48652585896721,85.0,15.231546211727817,51.0,67.26812023536856,88.05679985100527,101.40019723846694,367.93477682872003,363.73616812189573,3,4,200,20074
25.0,39.45883931389772,51.0,67.0,82.80700453464067,85.0,15.231546211727817,51.0,67.26812023536856,88.05679985100527,101.40019723846694,368.14263540100865,363.73616812189573,3,4,200,20111
26.0,40.44749683231337,51.0,67.0,82.13403679352427,85.0,15.231546211727817,51.0,67.26812023536856,88.05679985100527,101.40019723846694,368.35309147609985,363.73616812189573,3,4,200,20148
27.0,41.43669871020132,51.0,67.0,81.46778504415104,85.0,15.231546211727817,51.0,67.26812023536856,88.05679985100527,101.40019723846694,368.5661406043697,363.73616812189573,3,4,200,20185
28.0,42.42640687119285,51.0,67.0,80.8084154033477,85.0,15.231546211727817,51.0,67.26812023536856,88.05679985100527,101.40019723846694,368.7817782917155,363.73616812189573,3,4,200,20222
29.0,43.41658669218482,51.0,67.0,80.15609770940699,85.0,15.231546211727817,51.0,67.26812023536856,88.05679985100527,101.40019723846694,369.0,363.73616812189573,3,4,200,20259
30.0,44.40720662234904,51.0,67.0,79.51100552753688,85.0,15.231546211727817,51.0,67.26812023536856,88.05679985100527,101.40019723846694,369.22080114749764,363.73616812189573,3,4,200,20296
31.0,45.39823785126467,51.0,67.0,78.87331614684399,85.0,15.231546211727817,51.0,67.26812023536856,88.05679985100527,101.40019723846694,369.44417710934357,363.73616812189573,3,4,200,20333
32.0,46.389654018972806,51.0,67.0,78.24321056807422,85.0,15.231546211727817,51.0,67.26812023536856,88.05679985100527,101.40019723846694,369.6701232179847,363.73616812189573,3,4,200,20370
33.0,47.38143096192854,51.0,67.0,77.62087348130012,85.0,15.231546211727817,51.0,67.26812023536856,88.05679985100527,101.40019723846694,369.8986347636336,363.73616812189573,3,4,200,20407
34.0,48.373546489791295,51.0,67.0,77.00649323271382,85.0,15.231546211727817,51.0,67.26812023536856,88.05679985100527,101.40019723846694,370.1297069947237,363.73616812189573,3,4,200,20444
35.0,49.36598018878993,51.0,67.0,76.40026177965623,85.0,15.231546211727817,51.0,67.26812023536856,88.05679985100527,101.40019723846694,370.3633351183672,363.73616812189573,3,4,200,20481
36.0,50.35871324805669,51.0,67.0,75.8023746329889,85.0,15.231546211727817,51.0,67.26812023536856,88.05679985100527,101.40019723846694,370.59951430081503,363.73616812189573,3,4,200,20519
37.0,51.0,51.35172830587107,67.0,75.21303078589507,85.0,15.231546211727817,51.0,67.26812023536856,88.05679985100527,101.40019723846694,370.8382396679177,363.73616812189573,3,4,200,20556
38.0,51.0,52.3450093132096,67.0,74.63243262818116,85.0,15.231546211727817,51.0,67.26812023536856,88.05679985100527,101.40019723846694,371.07950630558946,363.73616812189573,3,4,200,20593
39.0,51.0,53.33854141237835,67.0,74.06078584514209,85.0,15.231546211727817,51.0,67.26812023536856,88.05679985100527,101.40019723846694,371.32330926027254,363.73616812189573,3,4,200,20630
40.0,51.0,54.3323108288245,67.0,73.49829930005184,85.0,15.231546211727817,51.0,67.26812023536856,88.05679985100527,101.40019723846694,371.56964353940435,363.73616812189573,3,4,200,20667
