P1_to_P2_distance,P1_to_obs_1_distance,P1_to_obs_2_distance,P1_to_obs_3_distance,P1_to_obs_4_distance,P1_to_obs_5_distance,P2_to_obs_1_distance,P2_to_obs_2_distance,P2_to_obs_3_distance,P2_to_obs_4_distance,P2_to_obs_5_distance,P1_to_goal_distance,P2_to_goal_distance,timestamp_milliseconds
1.0,147.41099009232656,175.69291391516052,191.4627901186024,203.93381279228808,221.11761576138613,148.00337833982033,176.61540136692497,192.38762953994728,204.37710243566914,221.28714377477965,23.600847442411894,24.20743687382041,7893
2.0,146.82302271782856,174.77127910500627,190.53870997778904,203.49447166937975,220.95248357961492,148.00337833982033,176.61540136692497,192.38762953994728,204.37710243566914,221.28714377477965,23.021728866442675,24.20743687382041,7929
3.0,146.23952953972466,173.85051049680584,189.61540021844218,203.05910469614506,220.79175709251467,148.00337833982033,176.61540136692497,192.38762953994728,204.37710243566914,221.28714377477965,22.47220505424423,24.20743687382041,7964
4.0,145.6605643267937,172.93062192682936,188.692872149427,202.62773748921938,220.6354459283458,148.00337833982033,176.61540136692497,192.38762953994728,204.37710243566914,221.28714377477965,21.95449840010015,24.20743687382041,8000
5.0,145.08618128546908,172.01162751395617,187.77113729218343,202.20039564748632,220.4835594777987,148.00337833982033,176.61540136692497,192.38762953994728,204.37710243566914,221.28714377477965,21.470910553583888,24.20743687382041,8034
6.0,144.51643505151932,171.09354166653983,186.85020738548835,201.77710474679728,220.33610689126738,148.00337833982033,176.61540136692497,192.38762953994728,204.37710243566914,221.28714377477965,21.02379604162864,24.20743687382041,8069
7.0,143.95138068111746,170.1763790894612,185.930094390338,201.357890334598,220.19309707617992,148.00337833982033,176.61540136692497,192.38762953994728,204.37710243566914,221.28714377477965,20.615528128088304,24.20743687382041,8103
8.0,143.39107364128355,169.26015479137433,185.0108104949546,200.94277792446286,220.0545386943882,148.00337833982033,176.61540136692497,192.38762953994728,204.37710243566914,221.28714377477965,20.248456731316587,24.20743687382041,8483
9.0,142.8355697996826,168.34488409215172,184.09236811991963,200.53179299053804,219.92044015961773,148.00337833982033,176.61540136692497,192.38762953994728,204.37710243566914,221.28714377477965,19.924858845171276,24.20743687382041,8517
10.0,142.28492541376264,167.4305826305338,183.17477992343814,200.124960961895,219.79080963497995,148.00337833982033,176.61540136692497,192.38762953994728,204.37710243566914,221.28714377477965,19.6468827043885,24.20743687382041,8552
11.0,141.7391971192161,166.5172663719892,182.25805880673698,199.7223072167954,219.66565503054863,148.00337833982033,176.61540136692497,192.38762953994728,204.37710243566914,221.28714377477965,19.4164878389476,24.20743687382041,8586
12.0,141.19844191774922,165.60495161679194,181.34221791960084,199.32385707686876,219.5449840010015,148.00337833982033,176.61540136692497,192.38762953994728,204.37710243566914,221.28714377477965,19.235384061671343,24.20743687382041,8621
13.0,140.6627171641441,164.69365500832143,180.42727066604982,198.92963580120485,219.4288039433292,148.00337833982033,176.61540136692497,192.38762953994728,204.37710243566914,221.28714377477965,19.1049731745428,24.20743687382041,8655
14.0,140.13208055259867,163.783393541592,179.51323071016242,198.53966858036205,219.31712199461307,148.00337833982033,176.61540136692497,192.38762953994728,204.37710243566914,221.28714377477965,19.026297590440446,24.20743687382041,8690
