P1_to_P2_distance,P1_to_obs_point_0_distance,P1_to_obs_point_1_distance,P1_to_obs_point_2_distance,P1_to_obs_point_3_distance,P1_to_obs_point_4_distance,P1_to_obs_point_5_distance,P1_to_obs_point_6_distance,P1_to_obs_point_7_distance,P1_to_obs_point_8_distance,P1_to_obs_point_9_distance,P1_to_obs_point_10_distance,P1_to_obs_point_11_distance,P1_to_obs_point_12_distance,P1_to_obs_point_13_distance,P1_to_obs_point_14_distance,P1_to_obs_point_15_distance,P1_to_obs_point_16_distance,P1_to_obs_point_17_distance,P1_to_obs_point_18_distance,P1_to_obs_point_19_distance,P1_to_obs_point_20_distance,P1_to_obs_point_21_distance,P1_to_obs_point_22_distance,P1_to_obs_point_23_distance,P1_to_obs_point_24_distance,P1_to_obs_point_25_distance,P1_to_obs_point_26_distance,P1_to_obs_point_27_distance,P1_to_obs_point_28_distance,P1_to_obs_point_29_distance,P1_to_obs_point_30_distance,P1_to_obs_point_31_distance,P1_to_obs_point_32_distance,P1_to_obs_point_33_distance,P1_to_obs_point_34_distance,P1_to_obs_point_35_distance,P1_to_obs_point_36_distance,P1_to_obs_point_37_distance,P1_to_obs_point_38_distance,P1_to_obs_point_39_distance,P1_to_obs_point_40_distance,P1_to_obs_point_41_distance,P1_to_obs_point_42_distance,P1_to_obs_point_43_distance,P1_to_obs_point_44_distance,P1_to_obs_point_45_distance,P1_to_obs_point_46_distance,P1_to_obs_point_47_distance,P1_to_obs_point_48_distance,P1_to_obs_point_49_distance,P2_to_obs_point_0_distance,P2_to_obs_point_1_distance,P2_to_obs_point_2_distance,P2_to_obs_point_3_distance,P2_to_obs_point_4_distance,P2_to_obs_point_5_distance,P2_to_obs_point_6_distance,P2_to_obs_point_7_distance,P2_to_obs_point_8_distance,P2_to_obs_point_9_distance,P2_to_obs_point_10_distance,P2_to_obs_point_11_distance,P2_to_obs_point_12_distance,P2_to_obs_point_13_distance,P2_to_obs_point_14_distance,P2_to_obs_point_15_distance,P2_to_obs_point_16_distance,P2_to_obs_point_17_distance,P2_to_obs_point_18_distance,P2_to_obs_point_19_distance,P2_to_obs_point_20_distance,P2_to_obs_point_21_distance,P2_to_obs_point_22_distance,P2_to_obs_point_23_distance,P2_to_obs_point_24_distance,P2_to_obs_point_25_distance,P2_to_obs_point_26_distance,P2_to_obs_point_27_distance,P2_to_obs_point_28_distance,P2_to_obs_point_29_distance,P2_to_obs_point_30_distance,P2_to_obs_point_31_distance,P2_to_obs_point_32_distance,P2_to_obs_point_33_distance,P2_to_obs_point_34_distance,P2_to_obs_point_35_distance,P2_to_obs_point_36_distance,P2_to_obs_point_37_distance,P2_to_obs_point_38_distance,P2_to_obs_point_39_distance,P2_to_obs_point_40_distance,P2_to_obs_point_41_distance,P2_to_obs_point_42_distance,P2_to_obs_point_43_distance,P2_to_obs_point_44_distance,P2_to_obs_point_45_distance,P2_to_obs_point_46_distance,P2_to_obs_point_47_distance,P2_to_obs_point_48_distance,P2_to_obs_point_49_distance,P1_to_goal_distance,P2_to_goal_distance,P1_action,P2_action,reward,timestamp_milliseconds
1.0,25.0,25.96150997149434,26.92582403567252,27.892651361962706,28.861739379323623,29.832867780352597,30.805843601498726,31.78049716414141,32.7566787083184,33.734255586866,34.713109915419565,35.6931365951495,36.6742416417845,37.656340767525464,38.63935817272331,39.6232255123179,40.607881008493905,41.593268686170845,42.579337712087536,43.56604182158393,44.553338819890925,45.5411901469428,46.52956049652737,47.51841748206689,47.67598976424087,47.853944456021594,48.05205510693585,48.27007354458868,48.507731342539614,48.507731342539614,48.662100242385755,48.76474136094644,49.040799340956916,49.33558553417604,49.49747468305833,49.64876634922564,49.64876634922564,49.9799959983992,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,24.73863375370596,25.709920264364882,26.68332812825267,27.65863337187866,28.635642126552707,29.614185789921695,30.59411708155671,31.575306807693888,32.55764119219941,33.54101966249684,34.52535300326414,35.510561809129406,36.49657518178932,37.48332962798263,38.47076812334269,39.45883931389772,40.44749683231337,41.43669871020132,42.42640687119285,43.41658669218482,44.40720662234904,45.39823785126467,46.389654018972806,46.69047011971501,46.87216658103186,47.07440918375928,47.29693436154187,47.38143096192854,47.53945729601885,47.67598976424087,47.80167361086848,48.08326112068523,48.373546489791295,48.38388161361178,48.662100242385755,48.703182647543684,49.040799340956916,49.36598018878993,49.64876634922564,49.76946855251722,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,524.7418412896002,523.9284302268775,0,4,200,6036
2.0,25.298221281347036,26.248809496813376,27.202941017470888,28.160255680657446,29.120439557122072,30.083217912982647,31.04834939252005,32.01562118716424,32.984845004941285,33.95585369269929,34.92849839314596,35.90264614203248,36.87817782917155,37.8549864614954,38.8329756778952,39.81205847478876,40.792156108742276,41.773197148410844,42.7551166528639,43.73785545725808,44.721359549995796,45.70557952810576,46.69047011971501,47.67598976424087,48.662100242385755,48.662100242385755,48.83646178829912,49.03060268852505,49.24428900898052,49.47726750741192,49.64876634922564,49.64876634922564,49.72926703662542,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,24.73863375370596,25.709920264364882,26.68332812825267,27.65863337187866,28.635642126552707,29.614185789921695,30.59411708155671,31.575306807693888,32.55764119219941,33.54101966249684,34.52535300326414,35.510561809129406,36.49657518178932,37.48332962798263,38.47076812334269,39.45883931389772,40.44749683231337,41.43669871020132,42.42640687119285,43.41658669218482,44.40720662234904,45.39823785126467,46.389654018972806,46.69047011971501,46.87216658103186,47.07440918375928,47.29693436154187,47.38143096192854,47.53945729601885,47.67598976424087,47.80167361086848,48.08326112068523,48.373546489791295,48.38388161361178,48.703182647543684,49.040799340956916,49.36598018878993,49.39635614091387,49.64876634922564,49.76946855251722,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,525.5558961709021,523.9284302268775,0,4,200,6071
3.0,25.632011235952593,26.570660511172846,27.51363298439521,28.460498941515414,29.410882339705484,30.364452901377952,31.32091952673165,32.28002478313795,33.24154027718932,34.20526275297414,35.17101079013795,36.138621999185304,37.107950630558946,38.07886552931954,39.05124837953327,40.024992192379,41.0,41.97618372363071,42.95346318982906,43.93176527297759,44.91102314577124,45.89117562233506,46.87216658103186,47.853944456021594,48.83646178829912,49.64876634922564,49.8196748283246,49.8196748283246,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,24.73863375370596,25.709920264364882,26.68332812825267,27.65863337187866,28.635642126552707,29.614185789921695,30.59411708155671,31.575306807693888,32.55764119219941,33.54101966249684,34.52535300326414,35.510561809129406,36.49657518178932,37.48332962798263,38.47076812334269,39.45883931389772,40.44749683231337,41.43669871020132,42.42640687119285,43.41658669218482,44.40720662234904,45.39823785126467,46.389654018972806,46.69047011971501,46.87216658103186,47.07440918375928,47.29693436154187,47.38143096192854,47.67598976424087,47.80167361086848,48.08326112068523,48.373546489791295,48.38388161361178,48.662100242385755,48.703182647543684,49.040799340956916,49.36598018878993,49.39635614091387,49.64876634922564,49.76946855251722,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,526.3705918837031,523.9284302268775,0,4,200,6107
4.0,26.0,26.92582403567252,27.85677655436824,28.792360097775937,29.732137494637012,30.675723300355934,31.622776601683793,32.57299494980466,33.52610922848042,34.48187929913333,35.4400902933387,36.40054944640259,37.36308338453881,38.3275357934736,39.293765408777,40.26164427839479,41.23105625617661,42.20189569201838,43.174066289845804,44.14748010928823,45.12205669071391,46.09772228646444,47.07440918375928,48.05205510693585,49.03060268852505,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,24.73863375370596,25.709920264364882,26.68332812825267,27.65863337187866,28.635642126552707,29.614185789921695,30.59411708155671,31.575306807693888,32.55764119219941,33.54101966249684,34.52535300326414,35.510561809129406,36.49657518178932,37.48332962798263,38.47076812334269,39.45883931389772,40.44749683231337,41.43669871020132,42.42640687119285,43.41658669218482,44.40720662234904,45.39823785126467,46.389654018972806,46.69047011971501,46.87216658103186,47.29693436154187,47.38143096192854,47.53945729601885,47.67598976424087,47.80167361086848,48.08326112068523,48.373546489791295,48.38388161361178,48.662100242385755,48.703182647543684,49.040799340956916,49.36598018878993,49.39635614091387,49.64876634922564,49.76946855251722,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,527.185925457044,523.9284302268775,0,4,200,6143
5.0,26.40075756488817,27.313000567495326,28.231188426986208,29.154759474226502,30.083217912982647,31.016124838541646,31.953090617340916,32.89376840679705,33.83784863137726,34.785054261852174,35.73513677041127,36.68787265568828,37.64306044943742,38.600518131237564,39.56008088970496,40.52159917870962,41.48493702538308,42.44997055358225,43.41658669218482,44.384682042344295,45.35416188179427,46.32493928760188,47.29693436154187,48.27007354458868,49.24428900898052,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,24.73863375370596,25.709920264364882,26.68332812825267,27.65863337187866,28.635642126552707,29.614185789921695,30.59411708155671,31.575306807693888,32.55764119219941,33.54101966249684,34.52535300326414,35.510561809129406,36.49657518178932,37.48332962798263,38.47076812334269,39.45883931389772,40.44749683231337,41.43669871020132,42.42640687119285,43.41658669218482,44.40720662234904,45.39823785126467,46.389654018972806,46.69047011971501,46.87216658103186,47.29693436154187,47.38143096192854,47.53945729601885,47.67598976424087,47.80167361086848,48.08326112068523,48.373546489791295,48.38388161361178,48.662100242385755,48.703182647543684,49.040799340956916,49.36598018878993,49.39635614091387,49.64876634922564,49.76946855251722,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,528.0018939359971,523.9284302268775,0,4,200,6179
6.0,26.832815729997478,27.730849247724095,28.635642126552707,29.546573405388315,30.463092423455635,31.38470965295043,32.31098884280702,33.24154027718932,34.17601498127012,35.11409973215888,36.05551275463989,37.0,37.94733192202055,38.897300677553446,39.84971769034255,40.80441152620633,41.7612260356422,42.720018726587654,43.68065933568311,44.64302857109943,45.60701700396552,46.57252408878007,47.53945729601885,48.507731342539614,49.47726750741192,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,24.73863375370596,25.709920264364882,26.68332812825267,27.65863337187866,28.635642126552707,29.614185789921695,30.59411708155671,31.575306807693888,32.55764119219941,33.54101966249684,34.52535300326414,35.510561809129406,36.49657518178932,37.48332962798263,38.47076812334269,39.45883931389772,40.44749683231337,41.43669871020132,42.42640687119285,43.41658669218482,44.40720662234904,45.39823785126467,46.389654018972806,46.69047011971501,46.87216658103186,47.29693436154187,47.38143096192854,47.53945729601885,47.67598976424087,47.80167361086848,48.08326112068523,48.373546489791295,48.38388161361178,48.662100242385755,48.703182647543684,49.040799340956916,49.36598018878993,49.39635614091387,49.64876634922564,49.76946855251722,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,528.818494381579,523.9284302268775,0,4,200,6214
7.0,27.294688127912362,28.178005607210743,29.068883707497267,29.966648127543394,30.870698080866262,31.78049716414141,32.69556544854363,33.61547262794322,34.539832078341085,35.4682957019364,36.40054944640259,37.33630940518894,38.27531841800928,39.21734310225516,40.162171256046406,41.10960958218893,42.05948168962618,43.01162633521314,43.965895873961216,44.9221548904324,45.880278987817846,46.84015371452148,47.80167361086848,48.76474136094644,49.72926703662542,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,24.73863375370596,25.709920264364882,26.68332812825267,27.65863337187866,28.635642126552707,29.614185789921695,30.59411708155671,31.575306807693888,32.55764119219941,33.54101966249684,34.52535300326414,35.510561809129406,36.49657518178932,37.48332962798263,38.47076812334269,39.45883931389772,40.44749683231337,41.43669871020132,42.42640687119285,43.41658669218482,44.40720662234904,45.39823785126467,46.389654018972806,46.69047011971501,46.87216658103186,47.29693436154187,47.38143096192854,47.53945729601885,47.67598976424087,47.80167361086848,48.08326112068523,48.373546489791295,48.38388161361178,48.662100242385755,48.703182647543684,49.040799340956916,49.36598018878993,49.39635614091387,49.64876634922564,49.76946855251722,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,529.6357238706619,523.9284302268775,0,4,200,6250
8.0,27.784887978899608,28.653097563788805,29.5296461204668,30.4138126514911,31.304951684997057,32.202484376209235,33.1058907144937,34.0147027033899,34.92849839314596,35.84689665786984,36.76955262170047,37.69615364994153,38.62641583165593,39.56008088970496,40.496913462633174,41.43669871020132,42.37924020083418,43.32435804486894,44.27188724235731,45.221676218380054,46.17358552246078,47.12748667179272,48.08326112068523,49.040799340956916,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,24.73863375370596,25.709920264364882,26.68332812825267,27.65863337187866,28.635642126552707,29.614185789921695,30.59411708155671,31.575306807693888,32.55764119219941,33.54101966249684,34.52535300326414,35.510561809129406,36.49657518178932,37.48332962798263,38.47076812334269,39.45883931389772,40.44749683231337,41.43669871020132,42.42640687119285,43.41658669218482,44.40720662234904,45.39823785126467,46.389654018972806,46.69047011971501,46.87216658103186,47.29693436154187,47.38143096192854,47.53945729601885,47.67598976424087,47.80167361086848,48.08326112068523,48.373546489791295,48.38388161361178,48.662100242385755,48.703182647543684,49.040799340956916,49.36598018878993,49.39635614091387,49.64876634922564,49.76946855251722,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,530.4535794958877,523.9284302268775,0,4,200,6286
9.0,28.30194339616981,29.154759474226502,30.01666203960727,30.886890422961002,31.76476034853718,32.64965543462902,33.54101966249684,34.438350715445125,35.34119409414458,36.24913792078372,37.16180835212409,38.07886552931954,39.0,39.92492955535426,40.85339643163099,41.78516483155236,42.720018726587654,43.657759905886145,44.598206241955516,45.5411901469428,46.486557196677836,47.43416490252569,48.38388161361178,49.33558553417604,49.73932046178355,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,24.73863375370596,25.709920264364882,26.68332812825267,27.65863337187866,28.635642126552707,29.614185789921695,30.59411708155671,31.575306807693888,32.55764119219941,33.54101966249684,34.52535300326414,35.510561809129406,36.49657518178932,37.48332962798263,38.47076812334269,39.45883931389772,40.44749683231337,41.43669871020132,42.42640687119285,43.41658669218482,44.40720662234904,45.39823785126467,46.389654018972806,46.69047011971501,46.87216658103186,47.29693436154187,47.38143096192854,47.53945729601885,47.67598976424087,47.80167361086848,48.08326112068523,48.373546489791295,48.38388161361178,48.662100242385755,48.703182647543684,49.040799340956916,49.36598018878993,49.39635614091387,49.64876634922564,49.76946855251722,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,531.2720583655798,523.9284302268775,0,4,200,6321
10.0,28.844410203711913,29.68164415931166,30.528675044947494,31.38470965295043,32.2490309931942,33.12099032335839,34.0,34.88552708502482,35.77708763999664,36.6742416417845,37.57658845611187,38.48376280978771,39.395431207184416,40.311288741492746,41.23105625617661,42.15447781671598,43.08131845707603,44.01136216933077,44.94441010848846,45.880278987817846,46.8187996428785,47.75981574503821,48.703182647543684,49.24428900898052,49.64876634922564,49.73932046178355,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,24.73863375370596,25.709920264364882,26.68332812825267,27.65863337187866,28.635642126552707,29.614185789921695,30.59411708155671,31.575306807693888,32.55764119219941,33.54101966249684,34.52535300326414,35.510561809129406,36.49657518178932,37.48332962798263,38.47076812334269,39.45883931389772,40.44749683231337,41.43669871020132,42.42640687119285,43.41658669218482,44.40720662234904,45.39823785126467,46.389654018972806,46.69047011971501,46.87216658103186,47.07440918375928,47.38143096192854,47.53945729601885,47.67598976424087,47.80167361086848,48.08326112068523,48.373546489791295,48.38388161361178,48.662100242385755,48.703182647543684,49.040799340956916,49.36598018878993,49.39635614091387,49.64876634922564,49.76946855251722,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,532.0911576036573,523.9284302268775,0,4,200,6357
