P1_to_P2_relative_position,P1_to_obs_1_relative_position,P1_to_obs_2_relative_position,P1_to_obs_3_relative_position,P1_to_obs_4_relative_position,P1_to_obs_5_relative_position,P2_to_obs_1_relative_position,P2_to_obs_2_relative_position,P2_to_obs_3_relative_position,P2_to_obs_4_relative_position,P2_to_obs_5_relative_position,P1_to_goal_relative_position,P2_to_goal_relative_position,timestamp_milliseconds
"(0, -1)","(8, -18)","(-37.0, 0.0)","(62.0, 0.0)","(103, 14)","(35, -110)","(8, -17)","(-37.0, 0.0)","(62.0, 0.0)","(103, 15)","(35, -109)","(-82, 203)","(-82, 204)",8857
"(0, -2)","(8, -19)","(-37.0, 0.0)","(62.0, 0.0)","(103, 13)","(35, -111)","(8, -17)","(-37.0, 0.0)","(62.0, 0.0)","(103, 15)","(35, -109)","(-82, 202)","(-82, 204)",8893
"(0, -3)","(8, -20)","(-37.0, 0.0)","(62.0, 0.0)","(103, 12)","(35, -112)","(8, -17)","(-37.0, 0.0)","(62.0, 0.0)","(103, 15)","(35, -109)","(-82, 201)","(-82, 204)",8929
"(0, -4)","(8, -21)","(-37.0, 0.0)","(62.0, 0.0)","(103, 11)","(35, -113)","(8, -17)","(-37.0, 0.0)","(62.0, 0.0)","(103, 15)","(35, -109)","(-82, 200)","(-82, 204)",8964
"(0, -5)","(8, -22)","(-37.0, 0.0)","(62.0, 0.0)","(103, 10)","(35, -114)","(8, -17)","(-37.0, 0.0)","(62.0, 0.0)","(103, 15)","(35, -109)","(-82, 199)","(-82, 204)",9000
"(0, -6)","(8, -23)","(-37.0, 0.0)","(62, 0)","(103, 9)","(35, -115)","(8, -17)","(-37.0, 0.0)","(62.0, 0.0)","(103, 15)","(35, -109)","(-82, 198)","(-82, 204)",9037
"(0, -7)","(8, -24)","(-37.0, 0.0)","(62, -1)","(103, 8)","(35, -116)","(8, -17)","(-37.0, 0.0)","(62.0, 0.0)","(103, 15)","(35, -109)","(-82, 197)","(-82, 204)",9074
"(0, -8)","(8, -25)","(-37.0, 0.0)","(62, -2)","(103, 7)","(35, -117)","(8, -17)","(-37.0, 0.0)","(62.0, 0.0)","(103, 15)","(35, -109)","(-82, 196)","(-82, 204)",9111
"(0, -9)","(8, -26)","(-37.0, 0.0)","(62, -3)","(103, 6)","(35, -118)","(8, -17)","(-37.0, 0.0)","(62.0, 0.0)","(103, 15)","(35, -109)","(-82, 195)","(-82, 204)",9148
"(0, -10)","(8, -27)","(-37.0, 0.0)","(62, -4)","(103, 5)","(35, -119)","(8, -17)","(-37.0, 0.0)","(62.0, 0.0)","(103, 15)","(35, -109)","(-82, 194)","(-82, 204)",9185
"(0, -11)","(8, -28)","(-37.0, 0.0)","(62, -5)","(103, 4)","(35, -120)","(8, -17)","(-37.0, 0.0)","(62.0, 0.0)","(103, 15)","(35, -109)","(-82, 193)","(-82, 204)",9222
"(0, -12)","(8, -29)","(-37, 0)","(62, -6)","(103, 3)","(35, -121)","(8, -17)","(-37.0, 0.0)","(62.0, 0.0)","(103, 15)","(35, -109)","(-82, 192)","(-82, 204)",9259
"(0, -13)","(8, -30)","(-37, -1)","(62, -7)","(103, 2)","(35, -122)","(8, -17)","(-37.0, 0.0)","(62.0, 0.0)","(103, 15)","(35, -109)","(-82, 191)","(-82, 204)",9296
"(0, -14)","(8, -31)","(-37, -2)","(62, -8)","(103, 1)","(35, -123)","(8, -17)","(-37.0, 0.0)","(62.0, 0.0)","(103, 15)","(35, -109)","(-82, 190)","(-82, 204)",9333
"(0, -15)","(8, -32)","(-37, -3)","(62, -9)","(103, 0)","(35, -124)","(8, -17)","(-37.0, 0.0)","(62.0, 0.0)","(103, 15)","(35, -109)","(-82, 189)","(-82, 204)",9370
"(0, -16)","(8, -33)","(-37, -4)","(62, -10)","(103.0, 0.0)","(35, -125)","(8, -17)","(-37.0, 0.0)","(62.0, 0.0)","(103, 15)","(35, -109)","(-82, 188)","(-82, 204)",9407
"(0, -17)","(8, -34)","(-37, -5)","(62, -11)","(103.0, 0.0)","(35, -126)","(8, -17)","(-37.0, 0.0)","(62.0, 0.0)","(103, 15)","(35, -109)","(-82, 187)","(-82, 204)",9444
"(0, -18)","(8, -35)","(-37, -6)","(62, -12)","(103.0, 0.0)","(35, -127)","(8, -17)","(-37.0, 0.0)","(62.0, 0.0)","(103, 15)","(35, -109)","(-82, 186)","(-82, 204)",9481
"(0, -19)","(8, -36)","(-37, -7)","(62, -13)","(103.0, 0.0)","(35, -128)","(8, -17)","(-37.0, 0.0)","(62.0, 0.0)","(103, 15)","(35, -109)","(-82, 185)","(-82, 204)",9519
"(0, -20)","(8, -37)","(-37, -8)","(62, -14)","(103.0, 0.0)","(35, -129)","(8, -17)","(-37.0, 0.0)","(62.0, 0.0)","(103, 15)","(35, -109)","(-82, 184)","(-82, 204)",9556
"(0, -21)","(-37, -9)","(8, -38)","(62, -15)","(103.0, 0.0)","(35, -130)","(8, -17)","(-37.0, 0.0)","(62.0, 0.0)","(103, 15)","(35, -109)","(-82, 183)","(-82, 204)",9593
"(0, -22)","(-37, -10)","(8, -39)","(62, -16)","(103.0, 0.0)","(35, -131)","(8, -17)","(-37.0, 0.0)","(62.0, 0.0)","(103, 15)","(35, -109)","(-82, 182)","(-82, 204)",9630
"(0, -23)","(-37, -11)","(8, -40)","(62, -17)","(103.0, 0.0)","(35, -132)","(8, -17)","(-37.0, 0.0)","(62.0, 0.0)","(103, 15)","(35, -109)","(-82, 181)","(-82, 204)",9667
"(0, -24)","(-37, -12)","(8, -41)","(62, -18)","(103.0, 0.0)","(35, -133)","(8, -17)","(-37.0, 0.0)","(62.0, 0.0)","(103, 15)","(35, -109)","(-82, 180)","(-82, 204)",9704
"(0, -25)","(-37, -13)","(8, -42)","(62, -19)","(103.0, 0.0)","(35, -134)","(8, -17)","(-37.0, 0.0)","(62.0, 0.0)","(103, 15)","(35, -109)","(-82, 179)","(-82, 204)",9741
"(0, -26)","(-37, -14)","(8, -43)","(62, -20)","(103.0, 0.0)","(35, -135)","(8, -17)","(-37.0, 0.0)","(62.0, 0.0)","(103, 15)","(35, -109)","(-82, 178)","(-82, 204)",9778
"(0, -27)","(-37, -15)","(8, -44)","(62, -21)","(103.0, 0.0)","(35, -136)","(8, -17)","(-37.0, 0.0)","(62.0, 0.0)","(103, 15)","(35, -109)","(-82, 177)","(-82, 204)",9815
"(0, -28)","(-37, -16)","(8, -45)","(62, -22)","(103.0, 0.0)","(35, -137)","(8, -17)","(-37.0, 0.0)","(62.0, 0.0)","(103, 15)","(35, -109)","(-82, 176)","(-82, 204)",9852
"(0, -29)","(-37, -17)","(8, -46)","(62, -23)","(103.0, 0.0)","(35, -138)","(8, -17)","(-37.0, 0.0)","(62.0, 0.0)","(103, 15)","(35, -109)","(-82, 175)","(-82, 204)",9889
"(0, -30)","(-37, -18)","(8, -47)","(62, -24)","(103.0, 0.0)","(35, -139)","(8, -17)","(-37.0, 0.0)","(62.0, 0.0)","(103, 15)","(35, -109)","(-82, 174)","(-82, 204)",9926
"(0, -31)","(-37, -19)","(8, -48)","(62, -25)","(103.0, 0.0)","(35, -140)","(8, -17)","(-37.0, 0.0)","(62.0, 0.0)","(103, 15)","(35, -109)","(-82, 173)","(-82, 204)",9963
"(0, -32)","(-37, -20)","(8, -49)","(62, -26)","(103.0, 0.0)","(35, -141)","(8, -17)","(-37.0, 0.0)","(62.0, 0.0)","(103, 15)","(35, -109)","(-82, 172)","(-82, 204)",10000
"(0, -33)","(-37, -21)","(8, -50)","(62, -27)","(103.0, 0.0)","(35, -142)","(8, -17)","(-37.0, 0.0)","(62.0, 0.0)","(103, 15)","(35, -109)","(-82, 171)","(-82, 204)",10037
"(0, -34)","(-37, -22)","(8, -51)","(62, -28)","(103.0, 0.0)","(35, -143)","(8, -17)","(-37.0, 0.0)","(62.0, 0.0)","(103, 15)","(35, -109)","(-82, 170)","(-82, 204)",10074
"(0, -35)","(-37, -23)","(8, -52)","(62, -29)","(103.0, 0.0)","(35, -144)","(8, -17)","(-37.0, 0.0)","(62.0, 0.0)","(103, 15)","(35, -109)","(-82, 169)","(-82, 204)",10111
"(0, -36)","(-37, -24)","(8, -53)","(62, -30)","(103.0, 0.0)","(35, -145)","(8, -17)","(-37.0, 0.0)","(62.0, 0.0)","(103, 15)","(35, -109)","(-82, 168)","(-82, 204)",10148
"(0, -37)","(-37, -25)","(8, -54)","(62, -31)","(103.0, 0.0)","(35, -146)","(8, -17)","(-37.0, 0.0)","(62.0, 0.0)","(103, 15)","(35, -109)","(-82, 167)","(-82, 204)",10185
"(0, -38)","(-37, -26)","(8, -55)","(62, -32)","(103.0, 0.0)","(35, -147)","(8, -17)","(-37.0, 0.0)","(62.0, 0.0)","(103, 15)","(35, -109)","(-82, 166)","(-82, 204)",10222
"(0, -39)","(-37, -27)","(8, -56)","(62, -33)","(103.0, 0.0)","(35, -148)","(8, -17)","(-37.0, 0.0)","(62.0, 0.0)","(103, 15)","(35, -109)","(-82, 165)","(-82, 204)",10259
"(0, -40)","(-37, -28)","(8, -57)","(62, -34)","(103.0, 0.0)","(35, -149)","(8, -17)","(-37.0, 0.0)","(62.0, 0.0)","(103, 15)","(35, -109)","(-82, 164)","(-82, 204)",10296
"(0, -41)","(-37, -29)","(8, -58)","(62, -35)","(103.0, 0.0)","(35, -150)","(8, -17)","(-37.0, 0.0)","(62.0, 0.0)","(103, 15)","(35, -109)","(-82, 163)","(-82, 204)",10333
"(0, -42)","(-37, -30)","(8, -59)","(62, -36)","(103.0, 0.0)","(35, -151)","(8, -17)","(-37.0, 0.0)","(62.0, 0.0)","(103, 15)","(35, -109)","(-82, 162)","(-82, 204)",10370
"(0, -43)","(-37, -31)","(8, -60)","(62, -37)","(103.0, 0.0)","(35, -152)","(8, -17)","(-37.0, 0.0)","(62.0, 0.0)","(103, 15)","(35, -109)","(-82, 161)","(-82, 204)",10407
"(0, -44)","(-37, -32)","(8, -61)","(62, -38)","(103.0, 0.0)","(35, -153)","(8, -17)","(-37.0, 0.0)","(62.0, 0.0)","(103, 15)","(35, -109)","(-82, 160)","(-82, 204)",10444
"(0, -45)","(-37, -33)","(8, -62)","(62, -39)","(103.0, 0.0)","(35, -154)","(8, -17)","(-37.0, 0.0)","(62.0, 0.0)","(103, 15)","(35, -109)","(-82, 159)","(-82, 204)",10481
"(0, -46)","(-37, -34)","(8, -63)","(62, -40)","(103.0, 0.0)","(35, -155)","(8, -17)","(-37.0, 0.0)","(62.0, 0.0)","(103, 15)","(35, -109)","(-82, 158)","(-82, 204)",10519
"(0, -47)","(-37, -35)","(8, -64)","(62, -41)","(103.0, 0.0)","(35, -156)","(8, -17)","(-37.0, 0.0)","(62.0, 0.0)","(103, 15)","(35, -109)","(-82, 157)","(-82, 204)",10556
"(0, -48)","(-37, -36)","(8, -65)","(62, -42)","(103, 0)","(35, -157)","(8, -17)","(-37.0, 0.0)","(62.0, 0.0)","(103, 15)","(35, -109)","(-82, 156)","(-82, 204)",10593
"(0, -49)","(-37, -37)","(8, -66)","(62, -43)","(103, -1)","(35, -158)","(8, -17)","(-37.0, 0.0)","(62.0, 0.0)","(103, 15)","(35, -109)","(-82, 155)","(-82, 204)",10630
"(0, -50)","(-37, -38)","(8, -67)","(62, -44)","(103, -2)","(35, -159)","(8, -17)","(-37.0, 0.0)","(62.0, 0.0)","(103, 15)","(35, -109)","(-82, 154)","(-82, 204)",10667
"(0, -50)","(-37, -38)","(8, -67)","(62, -44)","(103, -2)","(35, -159)","(8, -17)","(-37.0, 0.0)","(62.0, 0.0)","(103, 15)","(35, -109)","(-82, 154)","(-82, 204)",10704
"(0, -50)","(-37, -38)","(8, -67)","(62, -44)","(103, -2)","(35, -159)","(8, -17)","(-37.0, 0.0)","(62.0, 0.0)","(103, 15)","(35, -109)","(-82, 154)","(-82, 204)",10741
"(0, -50)","(-37, -38)","(8, -67)","(62, -44)","(103, -2)","(35, -159)","(8, -17)","(-37.0, 0.0)","(62.0, 0.0)","(103, 15)","(35, -109)","(-82, 154)","(-82, 204)",10778
"(0, -50)","(-37, -38)","(8, -67)","(62, -44)","(103, -2)","(35, -159)","(8, -17)","(-37.0, 0.0)","(62.0, 0.0)","(103, 15)","(35, -109)","(-82, 154)","(-82, 204)",10815
"(0, -50)","(-37, -38)","(8, -67)","(62, -44)","(103, -2)","(35, -159)","(8, -17)","(-37.0, 0.0)","(62.0, 0.0)","(103, 15)","(35, -109)","(-82, 154)","(-82, 204)",10852
