P1_X,P1_Y,P1_Direction,P1_Crashed,P1_ReachedGoal,P1_Score,P2_X,P2_Y,P2_Direction,P2_Crashed,P2_ReachedGoal,P2_Score,Timestamp,Elapsed_time_miliseconds,Total_Score
57,192,1,0,0,100,56,192,4,0,0,100,15:57:14,10286,200
58,192,1,0,0,100,56,192,4,0,0,100,15:57:14,10321,200
59,192,1,0,0,100,56,192,4,0,0,100,15:57:14,10357,200
60,192,1,0,0,100,56,192,4,0,0,100,15:57:14,10393,200
61,192,1,0,0,100,56,192,4,0,0,100,15:57:14,10429,200
62,192,1,0,0,100,56,192,4,0,0,100,15:57:14,10464,200
63,192,1,0,0,100,56,192,4,0,0,100,15:57:14,10500,200
64,192,1,0,0,100,56,192,4,0,0,100,15:57:14,10536,200
65,192,1,0,0,100,56,192,4,0,0,100,15:57:14,10571,200
66,192,1,0,0,100,56,192,4,0,0,100,15:57:14,10607,200
67,192,1,0,0,100,56,192,4,0,0,100,15:57:14,10643,200
68,192,1,0,0,100,56,192,4,0,0,100,15:57:14,10679,200
69,192,1,0,0,100,56,192,4,0,0,100,15:57:14,10714,200
70,192,1,0,0,100,56,192,4,0,0,100,15:57:14,10750,200
71,192,1,0,0,100,56,192,4,0,0,100,15:57:14,10786,200
72,192,1,0,0,100,56,192,4,0,0,100,15:57:14,10821,200
73,192,1,0,0,100,56,192,4,0,0,100,15:57:14,10857,200
74,192,1,0,0,100,56,192,4,0,0,100,15:57:14,10893,200
75,192,1,0,0,100,56,192,4,0,0,100,15:57:14,10929,200
76,192,1,0,0,100,56,192,4,0,0,100,15:57:14,10964,200
77,192,1,0,0,100,56,192,4,0,0,100,15:57:15,11000,200
78,192,1,0,0,100,56,192,4,0,0,100,15:57:15,11036,200
79,192,1,0,0,100,56,192,4,0,0,100,15:57:15,11071,200
80,192,1,0,0,100,56,192,4,0,0,100,15:57:15,11107,200
81,192,1,0,0,100,56,192,4,0,0,100,15:57:15,11143,200
81,193,3,0,0,100,56,192,4,0,0,100,15:57:15,11357,200
81,194,3,0,0,100,56,192,4,0,0,100,15:57:15,11393,200
81,195,3,0,0,100,56,192,4,0,0,100,15:57:15,11429,200
81,196,3,0,0,100,56,192,4,0,0,100,15:57:15,11464,200
81,197,3,0,0,100,56,192,4,0,0,100,15:57:15,11500,200
81,198,3,0,0,100,56,192,4,0,0,100,15:57:15,11536,200
81,199,3,0,0,100,56,192,4,0,0,100,15:57:15,11571,200
81,200,3,0,0,100,56,192,4,0,0,100,15:57:15,11607,200
81,201,3,0,0,100,56,192,4,0,0,100,15:57:15,11643,200
81,202,3,0,0,100,56,192,4,0,0,100,15:57:15,11679,200
81,203,3,0,0,100,56,192,4,0,0,100,15:57:15,11714,200
81,204,3,0,0,100,56,192,4,0,0,100,15:57:15,11750,200
82,204,1,0,0,100,56,192,4,0,0,100,15:57:15,11857,200
83,204,1,0,0,100,56,192,4,0,0,100,15:57:15,11893,200
84,204,1,0,0,100,56,192,4,0,0,100,15:57:15,11929,200
85,204,1,0,0,100,56,192,4,0,0,100,15:57:15,11964,200
86,204,1,0,0,100,56,192,4,0,0,100,15:57:16,12000,200
87,204,1,0,0,100,56,192,4,0,0,100,15:57:16,12036,200
88,204,1,0,0,100,56,192,4,0,0,100,15:57:16,12071,200
89,204,1,0,0,100,56,192,4,0,0,100,15:57:16,12107,200
90,204,1,0,0,100,56,192,4,0,0,100,15:57:16,12143,200
91,204,1,0,0,100,56,192,4,0,0,100,15:57:16,12179,200
92,204,1,0,0,100,56,192,4,0,0,100,15:57:16,12214,200
93,204,1,0,0,100,56,192,4,0,0,100,15:57:16,12250,200
94,204,1,0,0,100,56,192,4,0,0,100,15:57:16,12286,200
95,204,1,0,0,100,56,192,4,0,0,100,15:57:16,12321,200
96,204,1,0,0,100,56,192,4,0,0,100,15:57:16,12357,200
97,204,1,0,0,100,56,192,4,0,0,100,15:57:16,12393,200
98,204,1,0,0,100,56,192,4,0,0,100,15:57:16,12429,200
99,204,1,0,0,100,56,192,4,0,0,100,15:57:16,12464,200
100,204,1,0,0,100,56,192,4,0,0,100,15:57:16,12500,200
101,204,1,0,0,100,56,192,4,0,0,100,15:57:16,12536,200
102,204,1,0,0,100,56,192,4,0,0,100,15:57:16,12571,200
103,204,1,0,0,100,56,192,4,0,0,100,15:57:16,12607,200
104,204,1,0,0,100,56,192,4,0,0,100,15:57:16,12643,200
105,204,1,0,0,100,56,192,4,0,0,100,15:57:16,12679,200
105,204,1,0,0,100,56,192,4,0,0,100,15:57:16,12714,200
105,204,1,0,0,100,56,192,4,0,0,100,15:57:16,12750,200
105,204,1,0,0,100,56,192,4,0,0,100,15:57:16,12786,200
105,204,1,0,0,100,56,192,4,0,0,100,15:57:16,12821,200
105,204,1,0,0,100,56,192,4,0,0,100,15:57:16,12857,200
105,204,1,0,0,100,56,192,4,0,0,100,15:57:16,12893,200
105,204,1,0,0,100,56,192,4,0,0,100,15:57:16,12929,200
