P1_X,P1_Y,P1_Direction,P1_Crashed,P1_ReachedGoal,P1_Score,P2_X,P2_Y,P2_Direction,P2_Crashed,P2_ReachedGoal,P2_Score,Timestamp,Elapsed_time_miliseconds,Total_Score,goal_x,goal_y,obs_0_x,obs_0_y,obs_0_width,obs_0_height,obs_1_x,obs_1_y,obs_1_width,obs_1_height,obs_2_x,obs_2_y,obs_2_width,obs_2_height,obs_3_x,obs_3_y,obs_3_width,obs_3_height,obs_4_x,obs_4_y,obs_4_width,obs_4_height,obs_5_x,obs_5_y,obs_5_width,obs_5_height
349,197,4,0,0,100,351,197,1,0,0,100,14:38:57,1172,200,0,264,193,160,59,90,184,61,39,94,36,43,78,45,35,4,100,42,217,105,45,98,240,66,73,94
349,197,4,0,0,100,353,197,1,0,0,100,14:38:57,1207,200,0,264,193,160,59,90,184,61,39,94,36,43,78,45,35,4,100,42,217,105,45,98,240,66,73,94
349,199,3,0,0,100,353,197,4,0,0,100,14:38:57,1655,200,0,264,193,160,59,90,184,61,39,94,36,43,78,45,35,4,100,42,217,105,45,98,240,66,73,94
349,201,3,0,0,100,353,197,4,0,0,100,14:38:57,1690,200,0,264,193,160,59,90,184,61,39,94,36,43,78,45,35,4,100,42,217,105,45,98,240,66,73,94
349,203,3,0,0,100,353,197,4,0,0,100,14:38:57,1724,200,0,264,193,160,59,90,184,61,39,94,36,43,78,45,35,4,100,42,217,105,45,98,240,66,73,94
349,205,3,0,0,100,353,195,3,0,0,100,14:38:57,1759,200,0,264,193,160,59,90,184,61,39,94,36,43,78,45,35,4,100,42,217,105,45,98,240,66,73,94
349,207,3,0,0,100,353,195,4,0,0,100,14:38:57,1793,200,0,264,193,160,59,90,184,61,39,94,36,43,78,45,35,4,100,42,217,105,45,98,240,66,73,94
349,209,3,0,0,100,353,195,4,0,0,100,14:38:57,1828,200,0,264,193,160,59,90,184,61,39,94,36,43,78,45,35,4,100,42,217,105,45,98,240,66,73,94
349,211,3,0,0,100,353,195,4,0,0,100,14:38:57,1862,200,0,264,193,160,59,90,184,61,39,94,36,43,78,45,35,4,100,42,217,105,45,98,240,66,73,94
349,213,3,0,0,100,353,195,4,0,0,100,14:38:57,1897,200,0,264,193,160,59,90,184,61,39,94,36,43,78,45,35,4,100,42,217,105,45,98,240,66,73,94
349,215,3,0,0,100,353,195,4,0,0,100,14:38:57,1931,200,0,264,193,160,59,90,184,61,39,94,36,43,78,45,35,4,100,42,217,105,45,98,240,66,73,94
349,217,3,0,0,100,353,195,4,0,0,100,14:38:57,1966,200,0,264,193,160,59,90,184,61,39,94,36,43,78,45,35,4,100,42,217,105,45,98,240,66,73,94
