P1_X,P1_Y,P1_Direction,P1_Crashed,P1_ReachedGoal,P1_Score,P2_X,P2_Y,P2_Direction,P2_Crashed,P2_ReachedGoal,P2_Score,Timestamp,Elapsed_time_miliseconds,Total_Score
333,274,0,0,0,100,335,274,4,0,0,100,14:42:27,1172,200
331,274,0,0,0,100,335,274,4,0,0,100,14:42:27,1207,200
329,274,0,0,0,100,335,274,4,0,0,100,14:42:27,1241,200
327,274,0,0,0,100,335,274,4,0,0,100,14:42:27,1276,200
325,274,0,0,0,100,335,274,4,0,0,100,14:42:27,1310,200
323,274,0,0,0,100,335,272,3,0,0,100,14:42:27,1345,200
321,274,0,0,0,100,335,272,4,0,0,100,14:42:27,1379,200
319,274,0,0,0,100,335,272,4,0,0,100,14:42:27,1414,200
317,274,0,0,0,100,335,272,4,0,0,100,14:42:27,1448,200
315,274,0,0,0,100,335,272,4,0,0,100,14:42:27,1483,200
313,274,0,0,0,100,335,272,4,0,0,100,14:42:27,1517,200
311,274,0,0,0,100,335,272,4,0,0,100,14:42:27,1552,200
309,274,0,0,0,100,335,272,4,0,0,100,14:42:27,1586,200
307,274,0,0,0,100,335,272,4,0,0,100,14:42:27,1621,200
305,274,0,0,0,100,335,272,4,0,0,100,14:42:27,1655,200
303,274,0,0,0,100,335,272,4,0,0,100,14:42:27,1690,200
301,274,0,0,0,100,335,272,4,0,0,100,14:42:27,1724,200
299,274,0,0,0,100,335,272,4,0,0,100,14:42:27,1759,200
297,274,0,0,0,100,333,272,0,0,0,100,14:42:27,1793,200
295,274,0,0,0,100,331,272,0,0,0,100,14:42:27,1828,200
293,274,0,0,0,100,331,272,4,0,0,100,14:42:27,1862,200
291,274,0,0,0,100,333,272,1,0,0,100,14:42:27,1897,200
289,274,0,0,0,100,333,272,4,0,0,100,14:42:27,1931,200
287,274,0,0,0,100,333,272,4,0,0,100,14:42:27,1966,200
285,274,0,0,0,100,335,272,1,0,0,100,14:42:28,2000,200
283,274,0,0,0,100,333,272,0,0,0,100,14:42:28,2036,200
281,274,0,0,0,100,331,272,0,0,0,100,14:42:28,2071,200
279,274,0,0,0,100,329,272,0,0,0,100,14:42:28,2107,200
277,274,0,0,0,100,327,272,0,0,0,100,14:42:28,2143,200
275,274,0,0,0,100,325,272,0,0,0,100,14:42:28,2179,200
273,274,0,0,0,100,323,272,0,0,0,100,14:42:28,2214,200
271,274,0,0,0,100,321,272,0,0,0,100,14:42:28,2250,200
269,274,0,0,0,100,319,272,0,0,0,100,14:42:28,2286,200
267,274,0,0,0,100,317,272,0,0,0,100,14:42:28,2321,200
265,274,0,0,0,100,315,272,0,0,0,100,14:42:28,2357,200
265,272,0,0,0,100,315,270,3,0,0,100,14:42:28,2393,200
263,272,0,0,0,100,313,270,0,0,0,100,14:42:28,2429,200
261,272,0,0,0,100,311,270,0,0,0,100,14:42:28,2464,200
259,272,0,0,0,100,309,270,0,0,0,100,14:42:28,2500,200
257,272,0,0,0,100,307,270,0,0,0,100,14:42:28,2536,200
255,272,0,0,0,100,305,270,0,0,0,100,14:42:28,2571,200
255,270,0,0,0,100,305,268,3,0,0,100,14:42:28,2607,200
253,270,0,0,0,100,303,268,0,0,0,100,14:42:28,2643,200
251,270,0,0,0,100,301,268,0,0,0,100,14:42:28,2679,200
