P1_X,P1_Y,P1_Direction,P1_Crashed,P1_ReachedGoal,P1_Score,P2_X,P2_Y,P2_Direction,P2_Crashed,P2_ReachedGoal,P2_Score,Elapsed_time_miliseconds,Total_Score
359,248,4,0,0,100,357,248,0,0,0,100,1310,200
357,248,0,0,0,100,357,248,4,0,0,100,1345,200
355,248,0,0,0,100,357,248,4,0,0,100,1379,200
353,248,0,0,0,100,357,248,4,0,0,100,1414,200
351,248,0,0,0,100,357,248,4,0,0,100,1448,200
349,248,0,0,0,100,357,248,4,0,0,100,1483,200
347,248,0,0,0,100,357,248,4,0,0,100,1517,200
345,248,0,0,0,100,357,248,4,0,0,100,1552,200
343,248,0,0,0,100,357,248,4,0,0,100,1586,200
341,248,0,0,0,100,357,248,4,0,0,100,1621,200
339,248,0,0,0,100,357,248,4,0,0,100,1655,200
337,248,0,0,0,100,357,248,4,0,0,100,1690,200
335,248,0,0,0,100,357,248,4,0,0,100,1724,200
333,248,0,0,0,100,357,248,4,0,0,100,1759,200
331,248,0,0,0,100,357,248,4,0,0,100,1793,200
329,248,0,0,0,100,357,248,4,0,0,100,1828,200
327,248,0,0,0,100,357,248,4,0,0,100,1862,200
325,248,0,0,0,100,357,248,4,0,0,100,1897,200
323,248,0,0,0,100,357,248,4,0,0,100,1931,200
321,248,0,0,0,100,357,248,4,0,0,100,1966,200
319,248,0,0,0,100,357,248,4,0,0,100,2000,200
317,248,0,0,0,100,357,248,4,0,0,100,2036,200
315,248,0,0,0,100,357,248,4,0,0,100,2071,200
313,248,0,0,0,100,357,248,4,0,0,100,2107,200
311,248,0,0,0,100,357,248,4,0,0,100,2143,200
309,248,0,0,0,100,357,248,4,0,0,100,2179,200
307,248,0,0,0,100,357,248,4,0,0,100,2214,200
305,248,0,0,0,100,355,248,0,0,0,100,2250,200
303,248,0,0,0,100,353,248,0,0,0,100,2286,200
301,248,0,0,0,100,351,248,0,0,0,100,2321,200
299,248,0,0,0,100,349,248,0,0,0,100,2357,200
297,248,0,0,0,100,347,248,0,0,0,100,2393,200
295,248,0,0,0,100,345,248,0,0,0,100,2429,200
293,248,0,0,0,100,343,248,0,0,0,100,2464,200
291,248,0,0,0,100,341,248,0,0,0,100,2500,200
289,248,0,0,0,100,339,248,0,0,0,100,2536,200
287,248,0,0,0,100,337,248,0,0,0,100,2571,200
285,248,0,0,0,100,335,248,0,0,0,100,2607,200
283,248,0,0,0,100,333,248,0,0,0,100,2643,200
281,248,0,0,0,100,331,248,0,0,0,100,2679,200
279,248,0,0,0,100,329,248,0,0,0,100,2714,200
277,248,0,0,0,100,327,248,0,0,0,100,2750,200
275,248,0,0,0,100,325,248,0,0,0,100,2786,200
273,248,0,0,0,100,323,248,0,0,0,100,2821,200
271,248,0,0,0,100,321,248,0,0,0,100,2857,200
269,248,0,0,0,100,319,248,0,0,0,100,2893,200
267,248,0,0,0,100,317,248,0,0,0,100,2929,200
265,248,0,0,0,100,315,248,0,0,0,100,2964,200
263,248,0,0,0,100,313,248,0,0,0,100,3000,200
261,248,0,0,0,100,311,248,0,0,0,100,3034,200
259,248,0,0,0,100,309,248,0,0,0,100,3069,200
257,248,0,0,0,100,307,248,0,0,0,100,3103,200
255,248,0,0,0,100,305,248,0,0,0,100,3138,200
253,248,0,0,0,100,303,248,0,0,0,100,3172,200
251,248,0,0,0,100,301,248,0,0,0,100,3207,200
249,248,0,0,0,100,299,248,0,0,0,100,3241,200
247,248,0,0,0,100,297,248,0,0,0,100,3276,200
245,248,0,0,0,100,295,248,0,0,0,100,3310,200
243,248,0,0,0,100,293,248,0,0,0,100,3345,200
241,248,0,0,0,100,291,248,0,0,0,100,3379,200
239,248,0,0,0,100,289,248,0,0,0,100,3414,200
239,246,2,0,0,100,287,248,0,0,0,100,3448,200
239,244,2,0,0,100,285,248,0,0,0,100,3483,200
239,242,2,0,0,100,285,248,4,0,0,100,3517,200
239,240,2,0,0,100,283,248,0,0,0,100,3552,200
239,238,2,0,0,100,283,248,4,0,0,100,3586,200
239,236,2,0,0,100,283,248,4,0,0,100,3621,200
239,234,2,0,0,100,283,248,4,0,0,100,3655,200
239,232,2,0,0,100,283,248,4,0,0,100,3690,200
239,230,2,0,0,100,283,248,4,0,0,100,3724,200
239,228,2,0,0,100,285,248,1,0,0,100,3759,200
239,226,2,0,0,100,283,248,0,0,0,100,3793,200
239,224,2,0,0,100,281,248,0,0,0,100,3828,200
239,222,2,0,0,100,279,248,0,0,0,100,3862,200
239,220,2,0,0,100,277,248,0,0,0,100,3897,200
239,218,2,0,0,100,277,248,4,0,0,100,3931,200
239,216,2,0,0,100,277,248,4,0,0,100,3966,200
239,214,2,0,0,100,277,248,4,0,0,100,4000,200
239,212,2,0,0,100,275,248,0,0,0,100,4036,200
239,210,2,0,0,100,273,248,0,0,0,100,4071,200
239,208,2,0,0,100,271,248,0,0,0,100,4107,200
237,208,2,0,0,100,269,248,0,0,0,100,4143,200
237,208,2,0,0,100,269,248,4,0,0,100,4179,200
237,208,2,0,0,100,269,248,4,0,0,100,4214,200
237,206,2,0,0,100,269,246,3,0,0,100,4250,200
237,204,2,0,0,100,269,244,3,0,0,100,4286,200
237,202,2,0,0,100,269,242,3,0,0,100,4321,200
237,200,2,0,0,100,269,240,3,0,0,100,4357,200
237,198,2,0,0,100,269,238,3,0,0,100,4393,200
237,196,2,0,0,100,269,236,3,0,0,100,4429,200
237,194,2,0,0,100,269,234,3,0,0,100,4464,200
237,192,2,0,0,100,269,232,3,0,0,100,4500,200
237,190,2,0,0,100,269,230,3,0,0,100,4536,200
237,188,2,0,0,100,269,228,3,0,0,100,4571,200
237,186,2,0,0,100,269,226,3,0,0,100,4607,200
237,184,2,0,0,100,269,224,3,0,0,100,4643,200
237,182,2,0,0,100,269,222,3,0,0,100,4679,200
237,180,2,0,0,100,269,220,3,0,0,100,4714,200
237,178,2,0,0,100,269,218,3,0,0,100,4750,200
237,176,2,0,0,100,269,216,3,0,0,100,4786,200
237,174,2,0,0,100,269,214,3,0,0,100,4821,200
235,174,2,0,0,100,267,214,0,0,0,100,4857,200
235,172,2,0,0,100,267,212,3,0,0,100,4893,200
233,172,2,0,0,100,265,212,0,0,0,100,4929,200
233,170,2,0,0,100,265,210,3,0,0,100,4964,200
233,168,2,0,0,100,265,208,3,0,0,100,5000,200
231,168,0,0,0,100,265,206,3,0,0,100,5034,200
229,168,0,0,0,100,265,204,3,0,0,100,5069,200
227,168,0,0,0,100,265,202,3,0,0,100,5103,200
229,168,0,0,0,100,267,202,1,0,0,100,5138,200
227,168,0,0,0,100,267,200,3,0,0,100,5172,200
225,168,0,0,0,100,265,200,0,0,0,100,5207,200
223,168,0,0,0,100,263,200,0,0,0,100,5241,200
