P1_X,P1_Y,P1_Direction,P1_Crashed,P1_ReachedGoal,P1_Score,P2_X,P2_Y,P2_Direction,P2_Crashed,P2_ReachedGoal,P2_Score,Timestamp,Elapsed_time_miliseconds,Total_Score
384,107,4,0,0,100,384,109,2,0,0,100,14:55:54,158,200
384,107,4,0,0,100,382,109,0,0,0,100,14:55:54,474,200
384,107,4,0,0,100,384,109,1,0,0,100,14:55:54,526,200
384,107,4,0,0,100,384,107,3,0,0,100,14:55:54,579,200
384,107,4,0,0,100,386,107,1,0,0,100,14:55:54,632,200
384,107,4,0,0,100,384,107,0,0,0,100,14:55:55,1138,200
384,107,4,0,0,100,382,107,0,0,0,100,14:55:55,1483,200
384,107,4,0,0,100,382,105,3,0,0,100,14:55:55,1621,200
384,107,4,0,0,100,380,105,0,0,0,100,14:55:55,1862,200
384,109,3,0,0,100,380,105,4,0,0,100,14:55:55,1966,200
384,111,3,0,0,100,380,105,4,0,0,100,14:55:56,2000,200
384,113,3,0,0,100,380,105,4,0,0,100,14:55:56,2036,200
384,115,3,0,0,100,380,105,4,0,0,100,14:55:56,2071,200
384,117,3,0,0,100,380,105,4,0,0,100,14:55:56,2107,200
384,119,3,0,0,100,380,105,4,0,0,100,14:55:56,2143,200
384,121,3,0,0,100,380,105,4,0,0,100,14:55:56,2179,200
384,123,3,0,0,100,380,105,4,0,0,100,14:55:56,2214,200
384,125,3,0,0,100,380,105,4,0,0,100,14:55:56,2250,200
384,127,3,0,0,100,380,105,4,0,0,100,14:55:56,2286,200
384,129,3,0,0,100,380,105,4,0,0,100,14:55:56,2321,200
384,131,3,0,0,100,380,105,4,0,0,100,14:55:56,2357,200
384,133,3,0,0,100,380,105,4,0,0,100,14:55:56,2393,200
384,135,3,0,0,100,380,105,4,0,0,100,14:55:56,2429,200
384,137,3,0,0,100,380,105,4,0,0,100,14:55:56,2464,200
384,139,3,0,0,100,380,105,4,0,0,100,14:55:56,2500,200
384,141,3,0,0,100,380,105,4,0,0,100,14:55:56,2536,200
384,143,3,0,0,100,380,105,4,0,0,100,14:55:56,2571,200
384,145,3,0,0,100,380,105,4,0,0,100,14:55:56,2607,200
384,147,3,0,0,100,380,105,4,0,0,100,14:55:56,2643,200
384,149,3,0,0,100,380,105,4,0,0,100,14:55:56,2679,200
384,151,3,0,0,100,380,105,4,0,0,100,14:55:56,2714,200
384,153,3,0,0,100,380,105,4,0,0,100,14:55:56,2750,200
384,155,3,0,0,100,380,105,4,0,0,100,14:55:56,2786,200
384,157,3,0,0,100,380,107,2,0,0,100,14:55:56,2821,200
384,159,3,0,0,100,380,109,2,0,0,100,14:55:56,2857,200
384,161,3,0,0,100,380,111,2,0,0,100,14:55:56,2893,200
384,163,3,0,0,100,380,113,2,0,0,100,14:55:56,2929,200
384,165,3,0,0,100,380,115,2,0,0,100,14:55:56,2964,200
384,167,3,0,0,100,380,117,2,0,0,100,14:55:57,3000,200
384,169,3,0,0,100,380,119,2,0,0,100,14:55:57,3036,200
384,171,3,0,0,100,380,121,2,0,0,100,14:55:57,3071,200
