P1_X,P1_Y,P1_Direction,P1_Crashed,P1_ReachedGoal,P1_Score,P2_X,P2_Y,P2_Direction,P2_Crashed,P2_ReachedGoal,P2_Score,Timestamp
354,269,4,0,0,100,354,269,4,0,0,100,14:51:59
354,269,4,0,0,100,354,269,4,0,0,100,14:51:59
354,269,4,0,0,100,354,269,4,0,0,100,14:51:59
354,269,4,0,0,100,354,269,4,0,0,100,14:51:59
354,269,4,0,0,100,354,269,4,0,0,100,14:51:59
354,269,4,0,0,100,354,269,4,0,0,100,14:51:59
354,269,4,0,0,100,354,269,4,0,0,100,14:51:59
354,269,4,0,0,100,354,269,4,0,0,100,14:51:59
354,269,4,0,0,100,354,269,4,0,0,100,14:51:59
354,269,4,0,0,100,354,269,4,0,0,100,14:52:00
354,269,4,0,0,100,354,269,4,0,0,100,14:52:00
354,269,4,0,0,100,354,269,4,0,0,100,14:52:00
354,269,4,0,0,100,354,269,4,0,0,100,14:52:00
354,269,4,0,0,100,354,269,4,0,0,100,14:52:00
354,269,4,0,0,100,356,269,1,0,0,100,14:52:00
354,269,4,0,0,100,356,269,4,0,0,100,14:52:00
354,269,4,0,0,100,356,269,4,0,0,100,14:52:00
354,269,4,0,0,100,356,269,4,0,0,100,14:52:00
354,269,4,0,0,100,356,269,4,0,0,100,14:52:00
354,269,4,0,0,100,356,269,4,0,0,100,14:52:00
354,269,4,0,0,100,356,269,4,0,0,100,14:52:00
354,269,4,0,0,100,356,269,4,0,0,100,14:52:00
354,269,4,0,0,100,356,269,4,0,0,100,14:52:00
354,269,4,0,0,100,356,269,4,0,0,100,14:52:00
354,269,4,0,0,100,356,269,4,0,0,100,14:52:00
354,269,4,0,0,100,356,269,4,0,0,100,14:52:00
354,269,4,0,0,100,356,269,4,0,0,100,14:52:00
354,269,4,0,0,100,356,269,4,0,0,100,14:52:00
354,269,4,0,0,100,356,269,4,0,0,100,14:52:00
354,269,4,0,0,100,356,269,4,0,0,100,14:52:00
354,269,4,0,0,100,354,269,0,0,0,100,14:52:00
354,269,4,0,0,100,354,269,4,0,0,100,14:52:00
354,269,4,0,0,100,354,269,4,0,0,100,14:52:00
354,269,4,0,0,100,354,269,4,0,0,100,14:52:00
354,269,4,0,0,100,354,269,4,0,0,100,14:52:00
354,269,4,0,0,100,354,269,4,0,0,100,14:52:00
354,269,4,0,0,100,354,269,4,0,0,100,14:52:00
354,269,4,0,0,100,354,269,4,0,0,100,14:52:00
354,269,4,0,0,100,354,269,4,0,0,100,14:52:01
354,269,4,0,0,100,356,269,1,0,0,100,14:52:01
354,269,4,0,0,100,356,269,4,0,0,100,14:52:01
354,269,4,0,0,100,356,271,2,0,0,100,14:52:01
354,269,4,0,0,100,356,271,4,0,0,100,14:52:01
356,269,1,0,0,100,356,271,4,0,0,100,14:52:01
358,269,1,0,0,100,358,271,1,0,0,100,14:52:01
360,269,1,0,0,100,358,271,4,0,0,100,14:52:01
362,269,1,0,0,100,358,271,4,0,0,100,14:52:01
364,269,1,0,0,100,358,271,4,0,0,100,14:52:01
366,269,1,0,0,100,358,271,4,0,0,100,14:52:01
368,269,1,0,0,100,358,271,4,0,0,100,14:52:01
370,269,1,0,0,100,358,271,4,0,0,100,14:52:01
372,269,1,0,0,100,358,271,4,0,0,100,14:52:01
374,269,1,0,0,100,358,271,4,0,0,100,14:52:01
376,269,1,0,0,100,358,271,4,0,0,100,14:52:01
378,269,1,0,0,100,358,271,4,0,0,100,14:52:01
380,269,1,0,0,100,358,271,4,0,0,100,14:52:01
382,269,1,0,0,100,358,271,4,0,0,100,14:52:01
384,269,1,0,0,100,358,271,4,0,0,100,14:52:01
386,269,1,0,0,100,358,271,4,0,0,100,14:52:01
